taxonomy	P10T2	P10T3	P10T4	P11T1	P11T2	P11T3	P12T1	P12T4	P13T1	P13T4	P14T1	P14T4	P15T1	P15T2	P15T3	P16T1	P16T3	P16T4	P17T1	P17T2	P17T4	P18T1	P18T2	P18T3	P18T4	P19T1	P19T4	P1T1	P1T3	P1T4	P20T1	P20T2	P20T4	P21T1	P21T2	P21T4	P22T1	P22T4	P23T2	P23T3	P23T4	P24T1	P24T2	P24T3	P24T4	P25T1	P25T3	P25T4	P26T1	P26T3	P26T4	P27T1	P27T2	P27T3	P27T4	P28T2	P28T3	P28T4	P29T1	P29T2	P29T3	P29T4	P2T2	P2T3	P30T1	P30T2	P30T3	P30T4	P31T1	P31T2	P31T3	P31T4	P32T1	P32T3	P32T4	P33T1	P33T4	P34T1	P34T3	P35T1	P35T3	P36T1	P36T3	P36T4	P37T1	P37T3	P37T4	P38T1	P38T3	P39T1	P39T4	P3T1	P3T3	P3T4	P4T1	P4T3	P4T4	P5T1	P5T2	P5T3	P5T4	P6T1	P6T3	P6T4	P7T1	P7T3	P7T4	P8T1	P8T2	P8T3	P9T1	P9T2	P9T3	P9T4
k__Bacteria|p__Firmicutes|c__Negativicutes	2.85739	1.42124	0	1.19332	0.01419	1.52647	8.64335	3.1547	0	0.30364	0	7.28945	0.26204	0.96961	2.06986	13.95445	6.97176	3.39849	2.10586	2.33307	5.91473	13.27004	1.29148	3.24665	3.40916	0.17306	0.67951	1.85587	4.00661	1.26671	6.11894	4.76795	14.00217	7.11499	6.04778	1.62878	0.13843	7.33935	12.78013	0.55742	13.8044	3.10006	2.04748	2.32212	2.99949	0.6653	3.901	2.83587	0.69679	2.65606	1.60199	13.62489	4.79415	4.49072	1.92061	13.51234	1.26208	0.52167	0	1.40414	1.10171	3.93021	0	1.39801	1.83537	0.38445	0.42022	3.35083	12.26139	14.23126	9.79062	7.05981	14.18126	5.85079	12.06332	26.30035	18.47591	5.44574	12.23227	0.54599	0.12314	0.54725	2.14039	1.78728	1.10195	6.12286	0.97047	1.01617	0.52233	7.25388	9.9512	2.54596	2.78205	8.12293	2.06738	0.19216	5.67405	6.4678	3.33163	7.88793	2.20527	9.50003	15.62667	15.9732	2.35901	2.71126	1.39826	4.32543	2.86313	2.8972	3.65851	7.76714	0.47942	4.1478
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	1.41687	1.24665	0.70035	0.75447	0.31302	6.08163	0.94923	2.53529	0	0	0.4827	0	1.47808	1.98555	0	0	5.8135	8.58113	6.26496	0.21144	4.58568	2.03315	19.32612	6.7634	3.30783	7.42058	3.41748	0.21218	6.76359	3.12291	8.11053	0.41919	2.21772	2.55738	1.09111	2.18466	3.26744	1.14082	0.09486	13.03419	7.28035	2.73812	3.21006	5.95259	5.99329	2.33943	3.28705	7.61432	3.2099	4.86086	1.9468	9.34815	0.73204	0.5391	3.52264	1.39365	3.11366	1.34974	0.02559	15.58005	7.24549	2.78706	0	1.48131	16.2063	2.02694	14.07807	8.63629	0.11235	4.26782	0.59821	3.66742	1.63492	3.67449	17.76151	0.28825	5.3963	5.25478	8.45961	2.00693	3.55428	1.00278	0.832	3.8093	3.87255	2.14516	1.46103	1.03878	4.30962	1.59195	4.83166	4.82087	3.41017	0.22437	10.95084	2.79778	2.16417	1.04472	0.60226	1.03238	0.7943	5.32737	8.55897	10.25317	3.66265	0.22857	2.73067	0.56179	1.0361	0	0.02624	0.03412	0	1.55741
k__Bacteria|p__Firmicutes|c__Bacilli	0.0397	0.30297	0.60776	0.32184	96.87189	0.18938	16.59358	1.27516	0.02572	1.34013	7.98392	1.0302	90.3797	0.22147	1.02039	2.26271	1.1162	0.46559	0.75869	1.92282	0.68983	0.41903	1.66785	0.10121	0.04818	0.0292	0.00562	0.03195	0.53155	0.31368	0.06823	0.49161	13.31123	0.20971	13.27086	1.55604	3.54191	3.55332	17.23027	0.66469	2.37389	3.70578	0.0742	0.06188	0.01761	0.23451	0.47366	2.75268	0.45919	1.56341	0.56427	0.31218	0.76814	4.42878	1.76753	0.18571	0.52979	0.02197	21.92462	13.8712	0.8256	1.61988	99.56296	4.3113	29.01186	0.26562	0.44768	0.44976	33.29713	0.21422	0.45094	1.19108	0.36823	1.68705	0.29174	1.94504	2.60538	0.68615	2.15673	3.57486	0.03049	0.03114	0.17873	0.52058	1.95719	0.50074	0.14344	0.58362	1.43555	0.35555	0.56361	1.03986	1.29281	2.28664	3.14378	15.42052	0.64531	48.46922	0.16162	2.43471	0.12733	4.0196	0.13536	0.18328	5.08101	1.48388	1.45474	4.17655	76.47706	16.53111	4.74413	2.38377	70.67443	0.41709
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0.00851	0	0	0	0	0.61754	0	0.01966	0	0	0	0	0	0	0.02363	0	0	0	0	0	0	0.00868	0	0	0	0	0	0	0	0	0	1.77042	0.00222	0	0	0.00834	0	0	0.00512	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07858	0.05178	0.04565	0	0	0	0	0.00566	0	0	0	0	0	0	0	0	0	0	0	0	0.0013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09213	0	0	0	0	0	0	0	0	0	0	0	0	0.09043	0	0	0	0	0	0	0	0	0.00603	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	58.15065	46.25433	42.91821	6.11302	0.46111	24.89645	49.45484	27.53286	71.07785	0	43.60115	10.40809	2.02931	5.02143	0	83.18082	14.57212	0.18848	5.80725	37.07296	33.34132	21.75775	9.0891	26.63727	18.55152	3.52398	25.12828	50.07241	18.51407	0.30546	2.6924	75.92039	16.51969	0.30835	4.36597	77.97799	0.65569	52.93278	11.67868	0.71503	12.39263	15.63041	22.69448	5.53506	13.26824	46.6775	0.93866	1.38541	0.712	6.0657	18.94607	6.71986	30.444	65.11193	41.09826	40.24616	10.30991	45.10602	16.25609	1.38669	12.6365	35.2947	0	0	7.98176	34.44602	20.91976	24.7195	44.16401	24.7409	50.44295	29.32895	38.0165	52.00214	17.36527	52.83549	41.41341	39.63396	22.73345	17.39935	8.23395	32.97765	57.05903	42.92455	1.36512	12.43558	18.37768	41.09933	21.37069	20.38214	30.37791	28.46472	31.07226	13.14059	16.21293	16.26029	26.49452	24.25025	53.71186	10.9814	13.17219	21.8016	37.01694	36.67823	18.51584	27.61601	8.33017	0	11.42079	0	0.65443	8.54795	0.08232	34.5245
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	18.32847	44.0019	53.27947	89.76398	0.8163	41.0134	19.11679	52.35039	23.76806	21.42562	40.60103	9.44705	2.65372	16.18662	56.85048	0.58832	39.30958	18.5861	53.12997	57.31873	36.20976	35.58174	48.30258	38.59871	45.88104	75.11495	66.90822	40.78172	42.32105	14.39588	25.75251	5.90187	32.91045	58.16606	17.01795	5.96232	70.86172	28.82109	49.54538	31.17737	30.61953	41.41438	55.29854	77.74293	61.09585	36.73374	74.58164	54.33844	18.50015	45.79555	71.84218	36.93028	46.88548	23.19317	43.91617	22.00598	73.51476	38.98009	25.7121	46.92387	58.11876	42.00273	0	21.09771	24.32811	51.63554	27.59755	40.8358	5.47601	24.97218	29.66085	38.10216	30.25752	29.2229	40.96456	11.92478	6.00971	42.99659	39.86016	42.28535	24.36832	51.71362	28.41838	30.98496	53.39196	64.01697	59.56482	32.35459	39.86782	42.11903	27.2895	38.65078	51.43579	69.68075	38.68068	51.46157	39.73817	9.65149	41.03089	65.16563	70.67814	27.85253	22.44288	26.66454	51.95177	66.50459	39.66952	88.07266	7.91692	50.73883	88.20438	48.45149	7.78821	57.88681
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	12.55916	1.98205	1.76986	0	0.05259	13.63626	0	0.93807	0.63626	2.68905	0	0	0.24188	1.26375	39.86464	0	0.14997	0.13329	0.15828	0.00545	1.02377	2.14932	1.06214	0	0.06199	0	0.59543	0.24284	0.05189	0	0.09999	0.25516	0.04433	1.11526	1.84498	0.17381	1.02349	0.13191	2.74399	1.04652	4.0356	1.58453	5.61342	0.77357	0.03682	0.13552	1.1154	0.00781	0.31126	0.08272	0.02508	0.32928	3.52325	0.4149	3.45668	16.42262	0.08253	1.04123	0	4.62108	1.42724	4.30512	0	3.64001	1.68286	2.33362	3.14187	1.08536	0	1.11193	0.69003	0	0.74874	0.47291	0.00604	0	0.56489	1.73269	0.0156	0	0.02769	3.39477	0.02953	6.99156	0.2082	0.27359	1.3295	2.00285	0.339	4.25645	0.23802	0.9585	0.04641	2.07778	0.05307	0	0.09036	0	0	0	0.13311	1.04881	0.14356	0.08047	4.37465	0	0.04176	0.54944	0	28.01452	1.15931	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	6.60526	0.13997	0.05213	0.10053	0	1.22635	2.17815	0.17779	0.00341	0.05635	0.57722	0.04547	0	0.00727	0.02721	0	0.56697	0.16088	0.10038	0.19489	0.16926	0.33216	0.14885	0.12283	0.12216	0.87253	1.36189	0.75556	0.02271	0	0.1618	0.01191	1.18595	0.46986	0.02786	0	0.42281	0.08232	0.91339	0.33078	0.09946	0.08056	0.1837	0.164	0.04125	0.59396	0.3639	0.22119	0.39189	0.17392	0.34788	0.74508	0.39718	0.09261	0.60373	0.03258	0.34997	0.28444	2.73247	0.24479	0.09433	0.43372	0	0.19811	0.26833	0.06988	0.05518	0.14751	3.94884	0.04726	0.28906	0.02839	0.05819	0.01529	0.10717	0.09552	0.00902	0.72891	0.11154	10.27583	0.54199	0.20412	0.22588	0.08833	0.17389	0.17794	0.01175	4.1318	1.75353	0.07905	0.08092	1.56978	0.82016	0.69924	1.07783	0.61276	0.14711	0.29023	0.48272	0.27965	0.93065	0.34389	1.34795	0.59687	0.3866	0.1535	0.4106	2.21116	0.09087	1.57348	0.47946	0.12091	0.00052	0.04957
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2.85739	1.42124	0	0	0.01034	0.25096	7.26902	3.1547	0	0.30364	0	7.28945	0.04761	0.96961	2.06986	9.37078	6.69418	3.37337	2.08278	2.32988	3.51132	13.27004	1.29148	3.24665	3.40916	0.17227	0	1.84774	4.00661	1.26671	6.11894	4.00632	13.69433	7.11499	6.04778	1.62743	0.13843	7.33817	10.69887	0.51355	10.0898	1.72774	2.04748	2.32212	2.99949	0.6653	3.901	2.83587	0.69679	2.65606	1.60199	13.56172	4.79415	4.49072	1.91622	13.51234	1.26208	0.52167	0	1.40414	1.10171	3.92552	0	1.39801	1.83537	0.00455	0	0.01048	12.06651	9.3882	2.17194	2.97343	7.64952	0.351	1.17226	4.76936	12.2226	2.61043	1.30544	0.54599	0.12314	0.00696	1.93993	1.75308	1.10195	6.12286	0.97047	1.01617	0.52233	7.25388	9.94719	2.54596	0.75839	8.12293	2.06738	0.19216	5.66449	4.62448	2.17008	4.18347	1.26243	1.66471	3.4435	3.25541	2.348	2.71126	1.39826	4.32543	2.86313	2.8972	3.65851	7.76714	0.47942	4.1478
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	1.41687	1.24665	0.70035	0.75447	0.07074	0.4878	0.77868	0.75221	0	0	0.4827	0	0.05691	0.01723	0	0	0.03771	0.13237	0.53215	0.20173	0.77533	0.05538	0.3197	0.49451	0.27397	7.42058	3.41748	0.06574	0.29401	0.16564	0.49297	0.02294	0	0.4556	0.02808	0	0.31517	0.0018	0	1.83733	0.79015	0.40776	0.20899	1.16301	1.67415	2.33943	3.28649	0.67892	3.2099	0.85013	1.06469	0.38679	0.00932	0.04217	0.66613	0.15943	0.56713	0.18577	0	0.60234	1.02555	0.17889	0	0.06229	1.15203	0.26463	0.62519	0.75658	0.10306	0.14075	0.04625	0.61569	0.04635	0.3346	0.79585	0	0	0.20919	0.72123	2.00693	3.55428	0.07349	0.39659	0.30588	0.04771	0.15681	0.12429	1.03878	0.98274	0.05539	0.05852	0.23191	0.24305	0.22437	0.45609	0.28228	2.16417	1.02801	0.37285	0.11593	0.17846	0.75878	0.25061	0.1212	0.27002	0.21067	0.41847	0.56179	1.01377	0	0.02624	0.03412	0	0.01126
