taxonomy	P10T2	P10T3	P10T4	P11T1	P11T2	P11T3	P12T1	P12T4	P13T1	P13T4	P14T1	P14T4	P15T1	P15T2	P15T3	P16T1	P16T3	P16T4	P17T1	P17T2	P17T4	P18T1	P18T2	P18T3	P18T4	P19T1	P19T4	P1T1	P1T3	P1T4	P20T1	P20T2	P20T4	P21T1	P21T2	P21T4	P22T1	P22T4	P23T2	P23T3	P23T4	P24T1	P24T2	P24T3	P24T4	P25T1	P25T3	P25T4	P26T1	P26T3	P26T4	P27T1	P27T2	P27T3	P27T4	P28T2	P28T3	P28T4	P29T1	P29T2	P29T3	P29T4	P2T2	P2T3	P30T1	P30T2	P30T3	P30T4	P31T1	P31T2	P31T3	P31T4	P32T1	P32T3	P32T4	P33T1	P33T4	P34T1	P34T3	P35T1	P35T3	P36T1	P36T3	P36T4	P37T1	P37T3	P37T4	P38T1	P38T3	P39T1	P39T4	P3T1	P3T3	P3T4	P4T1	P4T3	P4T4	P5T1	P5T2	P5T3	P5T4	P6T1	P6T3	P6T4	P7T1	P7T3	P7T4	P8T1	P8T2	P8T3	P9T1	P9T2	P9T3	P9T4
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae	0	4.2986	8.77511	14.65247	0.01348	8.64475	2.56237	4.9293	1.71446	1.99606	0.14688	0	0.05224	0.288	3.21927	0	3.22563	1.46834	1.34784	3.43148	2.38349	2.26515	1.07292	0.3692	1.27376	2.48382	0	0.56465	2.00041	0.7308	1.17126	0.28548	2.62683	5.2175	0.43112	0.85017	10.32711	0.75298	1.72514	9.4085	4.27995	2.38165	0.48653	4.77794	0.77806	0.51347	1.82784	9.26332	2.68959	2.10964	3.48411	1.52265	1.19646	1.27136	0.46601	1.55778	1.90657	0.53375	3.1783	1.47329	1.92097	1.32518	0	3.58204	0.46844	0.77263	0.16327	0.24046	0.40785	1.90804	1.88003	1.62012	0.89056	1.40237	2.3706	3.14373	1.31977	0.57971	3.92032	16.43674	0.20768	0.96469	0.6424	0.34863	11.80633	4.57365	1.0233	0.21272	1.15034	1.23518	1.58941	2.28502	3.39073	4.46053	3.14147	2.98121	0.2928	0.60953	4.18979	2.87935	4.1175	0.6646	0.8548	1.94033	4.29763	3.98321	2.79995	3.01631	0	26.98943	11.55926	5.28043	1.88171	8.13009
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_sp_AF02_12	0	3.1023	0	0	0	0	0	0.01551	0	0	0	0	0	0	0	0	0	0	0	0.05789	0	0.19987	0	0	0	0	0	1.00176	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00102	0.04268	0.15047	0.0746	0	0	0	0	0	0.13997	0.00577	0	0	0.03255	0	0	0.01308	0	0	0	0	0	0	0	0.00458	0	0	0	0	0	0.12102	0	0	0	0	0	0	0	0	0	0	0	0.02499	0	0.00308	0.0039	0	0	0.09843	0	0	0	0	0	0	0	0	0	0	0	0.02616	0.16173	0.04786	1.60051	0.18626	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB1340|o__OFGB1340|f__FGB1340|g__GGB3256|s__GGB3256_SGB4303	0	2.45447	0	0	0.07541	0	0	0	0	0	0	0	0.40364	0	0	0	0	0	0	0	0.00764	0	0	0	0	0	0	0	1.45434	0.00081	0	0	0	0	0	0.00715	0.90613	0.00247	0	0.59037	0	0.78588	2.53393	0	0	0.93822	0	0.21654	0	2.18356	0	0	0	0	0	0	0.0041	0	0	0.37675	5.25103	1.66768	0	0	0.00255	2.71284	4.61452	3.53443	0	0	0	0	0	0	0.00894	0	0	0	8.54032	0	0	0	0	0	0.20274	0	0	0	2.80056	0.85022	0	0	0	0	0	0	0	0	0	0.55039	0	0.00161	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_symbiosum	0	2.25875	2.17049	0	0	0	0.48871	0.72495	0	0	0.10071	0.6658	0	0.18763	0	0	0	0.00393	0	0.04331	0.08982	0.02804	0.00785	0.04548	0.00303	0	0.05056	0	0.02271	0	0	0	0	0.18607	0	0	0.16542	0	0	0.01089	0	0.03939	0.00877	0.01891	0.0091	0.16325	0.09639	0.00216	0.02582	0.03007	0.03482	0.01976	0.0158	0.46234	2.82403	0	0.01547	0	0.15865	0.0028	0.21916	0.18081	0	0.62311	0	0.04247	0.02412	0.0348	0.05501	0.03078	0.01706	0.01136	0.00669	0.04348	0.01517	0	0.00089	0	0.0003	0	0.07547	0.02879	0.04003	0.13719	0	0	0	0.12187	0.02986	0.10151	0.01212	0.28074	0.02693	0	0.44354	0.11351	0.17344	0	0	0	0	0.05111	0.0223	0.01535	0.2173	0.05945	0.06019	3.36089	0	0.49726	0.40429	0.47023	0	0.36971
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii	0	2.2168	4.61049	0	0.11291	0	0	0	0	0	0	0	0.30592	0	0	0	0.8408	0.43964	0.38538	0	0.07117	0	0	0	0	0	0	0.85389	0	0	0	0.032	0	0	0.00312	0	0.38662	0	0	1.20853	0.65858	0.90765	1.59322	0.82031	1.49964	1.04101	0.2536	0	0	0.83751	0.11961	0	0	0	0	0	6.04184	0	0	1.14922	1.44612	0	0	0	0	1.13133	3.62792	0.82971	0	0.11234	0.58671	0	0	0	0.00626	0	0	0	0.30166	0.0818	0.4373	4.82421	0.58083	0.32004	0	0.26448	0.69134	0	0	0.70832	0.02248	0.30545	0	0	0	0	8.74734	0	0	0.53501	0.51959	0.00207	0	0	0	0	0	0	0	0	0.01795	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_faecis	0	1.9362	0.77941	0.02145	0.00604	0	0.13948	0.43049	0	0.09418	0.03784	0	0.01375	0.19313	2.29105	0	0.21653	0.14231	0.54629	2.21096	0.10362	0.0801	0.69043	0.19392	0.27258	0.38033	0	0.78355	0.37432	0.03352	0.08873	0.02091	0	0.35898	0.07673	0.00798	1.30757	0.35277	0	0.65109	0.50393	1.3377	1.81767	2.47229	1.88351	1.20226	0.72572	0.1144	0	0.29767	0.50208	0.41388	0.09237	0	0.97013	0.15631	1.1258	0.611	0	0.26295	1.71724	0.94849	0	0	0.00387	0.49736	0.20427	0.50087	0.01119	0.1004	0.72907	0.62695	0.52908	0.40465	0.33962	0.13719	0.02026	0.01634	0.6293	0	0.24321	0.95733	0.10979	0.03373	0.59729	0.52613	0.36355	0.381	0.57429	0.17561	0.2695	0.39896	0.33289	0.03978	0.21743	0.84682	0	0.14409	0.0466	0.67392	0.82357	1.28536	0.68613	0.50213	2.49751	1.53763	0.84886	0	0	0	1.11365	1.48675	0.05017	2.68303
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans	0	1.49129	1.09676	0	0.10442	0	0	2.01425	0	3.46566	0	0	0.32065	1.11172	0	0	0.94544	0.80846	2.57785	9.47765	1.75373	0.18319	2.71073	3.08743	3.51106	20.31832	8.14651	0.90162	6.01656	3.30746	3.47393	0.36529	0.94936	3.38106	1.03287	0.06464	3.47921	0.25147	0	0.61768	2.22097	2.26844	2.21697	2.89015	1.46367	1.78661	6.28232	7.16047	1.38524	2.1099	0.41322	0.75893	4.0598	0	1.36089	0.82992	5.92171	1.72363	0	7.20336	5.61412	4.93008	0	0	2.95813	3.0353	3.12394	0.99948	0	0.87928	0.29183	1.02003	2.76492	1.40612	2.17083	0	0.33739	4.62197	0.9886	0	0	0.87027	4.44644	7.52857	15.25258	2.5084	1.54223	3.62729	3.12042	0.64654	1.68444	0.7452	3.08428	10.07306	4.64511	0	0.02191	0	0	4.1697	4.26938	2.07258	2.36101	1.5984	2.38586	10.07453	2.99796	0	0.00541	0	28.49192	18.00482	0.81001	2.54899
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_massiliensis	0	1.41811	0	0	0.02046	0	0	4.73547	0	1.59204	0	0	0.21089	0	0	0	2.74153	1.11947	1.37865	6.51853	0.9281	1.92851	1.94624	1.0225	3.80546	0.33025	0	1.58682	1.01266	0.3911	2.2351	0.25317	1.00029	1.87479	0	0.04568	3.61485	0.18328	0	0	0	1.81522	1.16199	11.597	1.92184	0.49619	0	11.13872	0	3.16193	0	3.19271	1.18831	0	0.4789	1.0939	0.61877	0.63939	0	3.36143	2.04417	2.2495	0	0	0.61064	1.1603	1.30117	1.78551	0	1.21579	1.20892	2.94447	2.49574	2.37156	4.01955	0.12756	0.41083	5.80866	7.58559	0	5.89719	1.02978	0.12632	0	3.13098	1.84963	0.91812	4.70445	10.81952	0.75555	1.33692	2.03838	3.0211	5.43587	0	7.7512	0	0.79968	0.02146	5.20403	5.05878	1.12416	1.29785	1.35105	5.6387	8.5873	0.15271	62.26051	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Dysosmobacter|s__Dysosmobacter_welbionis	0	1.21185	2.23094	0	0.00652	0	0.03633	0	0	0	2.96634	0	0.07221	0	0	0	0.00699	0	0.03098	0	0.48915	0.01017	0.15863	1.08076	0.1055	0	0	0	0	0	0.07165	0.05449	0	0	0	0	0	0	0	0	0	0	0.10552	0.00536	0.05647	0.10395	0.09803	0.03771	0.11778	0.52659	0.94636	0	0	0	0	0	0.05289	0.25187	0	0	0.2543	0.01541	0	0	0.00753	0.72909	0.67896	1.06526	0.0209	0	0.00208	0.11946	0.07016	1.2449	1.6642	0	0	0.23235	0.07498	0	0.04151	1.1293	1.02676	1.62446	0	0.00341	0.0221	0.75364	0.69622	0	0.039	0.19045	0	0	0	0	0.03042	0	0.24955	0	0.01334	1.52008	0.11839	0.24849	0	0	0.00692	0.00138	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Flavonifractor|s__Flavonifractor_plautii	0	1.20571	2.40743	0.48865	0.02144	0.01665	0.556	0.01431	0	0	3.24931	0.11378	0.13913	0.03017	2.38598	0	0.05908	0.00967	0.06424	0.13372	0.60348	0.45043	0.73125	1.94051	0.27082	0.27757	3.00799	0.06755	0.06183	0.01111	0.78979	0.01885	0	0	0.0306	0	0.01642	0	0.25861	0	0.11375	0.00107	0.01562	0	0.01308	0.00555	0.00542	0	0.01032	0.15064	0.7081	0	0	0	0.0441	0	0.28868	0.35203	0.702	0.07065	0.82088	0.64768	0	0.06678	2.08261	1.06354	1.47606	6.10977	1.30817	0.03826	0	0.03187	0.54579	1.10347	1.22082	0	0	0.3312	1.06826	0.30123	3.4536	1.22636	0.43461	0.56076	0.00727	0	0.29335	2.35291	0.96096	0.2387	0.01793	0.20837	0.05361	0.08106	0.5301	0.09815	2.23938	1.48738	0.97628	0	0.03133	0.92478	0.06538	0.19279	0.41782	0.10736	0.12469	0.10452	0.23666	0.72505	0	0.00385	0	0.36931
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus_gnavus	0	1.06143	1.96281	0	0.00852	14.70773	0	0.03972	0.19143	0.19477	2.76516	0.08223	0.0301	1.09437	6.62325	0	0.61038	0.02095	0.09531	0.14856	0.04475	0.10089	1.16204	0.43684	0.52958	1.00272	10.67676	0.00977	0.01161	0	0.09895	0.01963	0.05274	0.0393	0.09309	0.17714	0.97869	0.01884	4.16017	0.12086	0.75276	0.13394	0.13107	0.0031	0	0	0.30606	0.32961	0.01441	0.22735	0.07683	0.04958	0.02703	0.77833	1.75934	0.64389	0.76663	0.28585	5.78188	0.29973	0.09976	0.74499	0	4.32231	8.72015	3.12825	0.37509	0.44857	0	0.78675	0	0.00319	0.02424	0.03504	0	0	0	0.80573	0.05889	2.23839	1.03737	0.2984	0.11336	0.39251	0.10429	0.0403	0.34069	0.48316	0.16848	0.01734	0.24842	0.17328	0.02841	1.19635	2.7528	0.46908	0.98532	0.00104	0	0.08686	0.13728	1.20558	0	0	0.25688	0.04665	0.3378	2.96295	0	9.63509	10.54255	0.41641	0.04195	0.21583
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB3433|s__GGB3433_SGB4573	0	0.84815	0	0	0	0.10317	0	0.01817	0	0	0	0	0	0	0	0	0.03231	0.00535	0	0	0.02057	0	0	0.08111	0.23464	0	0	0	0	0	0	0.00713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05665	0	0	0.06159	0.07763	0	0	0	0	0.02178	0.01829	0	0.02827	0	0	0	0	0	0	0	0	0	0	0	0	0.00443	0.06852	0.03327	0	0	0.0755	0.06854	0	0.14519	0	0.17341	0.52693	0	0.00746	0	0	0.95547	0	0.00447	0.11419	0	0	0	0	0	0	0	0	0.00229	0.22911	0.01062	0.03064	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_unclassified_SGB4550	0	0.80915	0.27915	0	0	0	0	0.01155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03012	0	0	0	0	0	0	0	0.07395	0.33022	0	0	0	0.01351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia	0	0.76584	0	0	0.026	3.26689	1.38111	0	0	0	0	0	0.08665	0	0	0	0.49285	0.12252	0	0.32753	0.07051	0	1.3524	0.63947	0.73789	0	0	0.85057	0.1899	0.03925	0.62875	0.0425	0	0.04714	0	0	0.05406	0.43484	0	0	0	0.10126	0.57668	0.12601	0.36331	0	0	0	0	0	0	0.38117	0.08953	0	0	2.01232	1.60925	0.43569	0	0	0	0	0	0	0.05683	0.38633	1.06456	0.97113	0.19866	0.30142	0.53064	0.40056	0	0	0	0.26523	0	0	0.36798	0	0	1.13037	0.62489	0.40928	0	0	0	0	0	0	0.02348	0.81444	0.68235	0	0	0	0	2.04658	0.53081	0.01739	0.07228	0.30899	0.70099	0.50634	0.23979	0.29894	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Mediterraneibacter|s__Mediterraneibacter_SGB4586	0	0.73583	7.44421	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03377	0.01128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08736	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Faecalimonas|s__Faecalimonas_umbilicata	0	0.7339	0.92167	0	0	0.14585	0	0	0.01613	0.07581	0.0289	0	0	0.48838	2.03349	0	0.01841	0.00197	0	0.17918	0.19428	0.32104	1.54744	0.32384	0.07517	0.05905	0.18808	0	0	0	0.03077	0	0	0	0	0.0809	0.33789	0	0.18407	0.04644	0.16546	0.01631	0	0	0	0.05043	1.30591	0	0.05405	0.04953	0.6273	0	0	0.4633	0.22491	0	0.01542	0.05013	0	0.11362	0	0.27275	0	0.93513	0.08238	0.06254	0.03309	0.26129	0	0.31033	0	0	0	0	0	0	0	2.24424	0.1477	0	0	0	0	0	0.05035	0	0	0.49404	0.17399	0	0	0.11365	0.14135	0.34245	0.17805	0.13262	0.11114	0	0	0	0	0.09996	0	0	0.06541	0.07634	0.06996	0.22662	0	1.91205	2.86686	0.0838	0	0.31255
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	0	0.68327	0.36488	0.00482	0.04975	6.41096	0.01765	1.69927	0	0	1.02658	0	0.21075	50.13517	0	0	18.68456	19.96774	8.35981	0	3.24718	2.18047	4.28487	2.24009	5.0059	6.4547	0	0.1316	0.35798	1.70813	35.45608	0.14748	1.09701	14.44129	19.40398	2.45958	6.8273	0.10331	0.00605	3.70944	1.98916	4.81461	1.07644	0.08823	0.97318	0.95697	11.27537	4.7954	10.51063	3.33248	2.26141	0.1025	6.2643	0.0633	0.10673	0.68755	1.22168	0.40889	15.93123	5.45956	1.07658	1.37244	0	9.17898	6.81314	0.43964	2.32003	0.55529	0.00375	1.58107	0.04258	0.71628	2.25784	0.27032	0.84537	4.30081	9.60916	0.6596	0.99906	19.50031	0	0.6393	0.18611	0.45376	9.62537	1.68902	0.72193	11.27554	10.73436	1.06557	1.55415	2.08488	0.58193	0.00716	18.66604	5.28137	18.61199	7.06344	0.01972	1.85825	2.6924	5.2031	0.32018	0.79833	4.0197	0	6.26649	0	0	0	0.12067	26.78425	20.95297	0.41117
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Mediterraneibacter|s__Mediterraneibacter_glycyrrhizinilyticus	0	0.53939	0.05106	0	0	0	0	0.00507	0	0	0	0	0.00507	0.04511	0	0	0.16282	0.0331	0	0	0.16518	0	0.1102	0.05678	0.04225	0	0	0.02528	0.00066	0	0	0.00014	0	0	0	0	0.03068	0	0	0	0	0.01059	0	0	0	0.03823	0	0.01186	0.184	0.28047	0	0.02239	0	0	0	0.09482	0.3042	0.06321	0	0.0875	0.02693	0.09162	0	0.03935	0.00081	0.08518	0.11477	0.08118	0	0.00159	0	0	0	0.06965	0.08388	0	0	0.75829	0.18585	0	0.14438	0.02564	0.01655	0.02476	0	0.06168	0.03744	0	0	0	0.04339	0	0.09565	0.09966	0	0	0	0	0	0.01597	0.01621	0.04961	0.00756	0.02811	0	0	0.06959	0	0	0	0	0	0	0.00804
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Agathobaculum|s__Agathobaculum_butyriciproducens	0	0.40533	0.54312	0.00198	0	0	0.13788	0.48588	0	0	0	0	0.01075	0.04584	0	0	0.84174	1.1634	0.13959	2.02207	0.20452	0.22615	0	0.3265	0.25798	0	0	0.39156	0.16758	0.16701	0.3387	0.38372	0.98579	3.0393	0.72417	0.0205	1.42194	0.05171	0.0814	0.02228	0.08102	0.56029	0.56199	0.32736	0.70168	0.13572	0	0.00366	0	0.93128	0	0	0.50623	0	2.11194	0	0.42405	0.18192	0	0.03092	0.91839	1.01236	0	0	0.36593	0.00957	0.1003	0.05516	0.01725	0.3084	0.27306	0.83653	1.60319	0.4536	0.60153	0.55014	0	0.00125	1.0509	1.17831	0	0.0237	0.00954	0	0.06419	0.86519	0.54592	0	0.4826	0.13114	0.30499	0.64761	2.32365	0.93096	0	0.42435	0.5604	0	0.01341	0.31896	0.38342	0.41774	0.39967	0.38899	0.6332	1.09044	0.12114	0	0	0	0.95789	0.16494	0.00733	0.7839
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified|s__Clostridia_unclassified_SGB4447	0	0.40102	0	0	0	0.02246	0	1.00794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07301	0	0	0.23874	0.02381	0	0.17538	0.23306	0	0	0	0	0	0	0	0	0	0.08158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49458	0.00625	0	0	0.09704	0.08989	0	0	0.20004	0	0	0	0	0	0.05348	0.23081	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus	0	0.30317	0.27273	0.31583	0.00079	0	0	2.47581	17.59652	0.92101	0	0	0.02357	2.96495	0.1268	0	0.78033	0.33938	0.82271	0.31751	0.33991	2.88616	1.12632	1.62802	0.94594	1.219	0	0.08686	1.00297	0.19755	0.44871	0.14207	5.12521	0.38479	0	0.61303	0.72927	0.14591	4.76535	2.04631	1.13603	0.39098	0.41766	1.24245	0.20637	0.10267	1.4711	0.73496	0.32371	0.13396	1.65696	0.02868	2.0271	0	0.56799	0.21885	0.75032	0.69835	0	0.75337	0.92595	1.16466	0	0.92273	0.1182	0.0419	0.08276	0.15709	0	1.48232	1.46827	0.19802	0.89028	0.1841	1.55183	0.0014	0.60896	0.69889	1.03899	0	1.49468	0.03335	0.08074	0.03462	0.43142	0.69373	0.17139	0.30082	1.03372	3.06987	0.77538	0.94298	0.42859	0.22572	0.69259	1.18341	0	0	0.0106	1.18979	4.46579	0.13448	0.07379	0.12571	4.06253	0.16945	1.41194	0	0	0	6.76975	6.42356	3.2105	8.86241
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_caecimuris	0	0.29931	2.28225	3.21731	0.03771	3.48931	0.00516	0	0.00575	0	4.54653	0	0.19393	0.49787	0.25947	0	0.26479	0.02179	0.00082	0.00762	0.05249	0.01882	6.73392	0.39815	0.29015	22.37843	17.0818	0	0	0	0.08762	0.01774	0	0	0.01986	0	0.00584	0	0.91087	0.07139	0.07112	0	0	0	0	0.15848	0.38186	3.23177	2.83165	0.40909	0.50025	0	0	0.01193	0.0107	0.00839	0.11477	0.00938	0	1.03706	0	0	0	0.06015	0.44204	0.79879	2.24164	0.74346	0	0	0	0.01052	0.01616	0.03895	0.01272	0	0	1.97919	0.61072	3.23541	0.4136	0.68222	0.44173	2.23422	0	0	0	1.24407	1.14798	0	0.01351	0	0	0.33621	0.79659	2.59123	4.14255	0.72043	0.14822	0	0	0.53819	0.11402	0.2754	0.01456	0.0017	0.11046	0	0	1.44048	0.02608	0	0	0.1689
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster_citroniae	0	0.28065	0.07826	0	0	0	0.01541	0.07164	0	0	0	0	0	0.00529	0.26212	0	0.00022	0	0	0.16315	0.00084	0	0.01898	0.00722	0.03422	0	0.01153	0	0.00861	0	0	0	0	0.00181	0	0	0	0	0	0	0	0	0.01188	0.03666	0.01129	0.00856	0.05511	0.02139	0	0.0106	0	0.0105	0	0	0	0	0.01441	0.00926	0	0	0.08201	0.05073	0	0.24851	0	0.02371	0.00702	0.02137	0	0.00973	0.01808	0.03828	0.00752	0.01516	0.0131	0	0	0.02815	0.18759	0	0.04995	0.00796	0.00856	0.00787	0.00586	0.02302	0.01336	0.01991	0.15793	0	0.004	0	0	0.00624	0	0.03862	0.04086	0	0	0	0.0004	0.02731	0.01276	0.01363	0.02307	0.09214	0	0	0	0	0	0.04821	0	0.01738
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Pseudoflavonifractor|s__Pseudoflavonifractor_sp_Marseille_P3106	0	0.23874	0.61073	0	0	0	0.00121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00778	0.24894	0.00139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03535	0	0	0	0	0	0.00755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Phocea|s__Phocea_massiliensis	0	0.22061	0.12558	0	0	0	0	0	0	0	0.08519	0	0	0.01279	0	0	0.01338	0.01905	0.027	0	0.02855	0	0	0	0	0.04071	0.16488	0.00965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00302	0.01972	0.01587	0.0129	0.00477	0	0	0.01369	0.01661	0.06379	0	0	0	0	0.03296	0.07399	0	0.00284	0.04279	0.2747	0	0	0.00132	0.08343	0.08021	0.19297	0	0	0	0.01242	0.01728	0.13979	0.13539	0	0	0	0	0	0.00945	0.04464	0.09666	0.08644	0	0.00177	0.11456	0	0.01971	0	0	0.02162	0	0	0	0	0	0	0	0	0	0.01652	0.00345	0.02308	0.0694	0	0.07104	0	0.01078	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus	0	0.21474	0.23763	0.16614	0.00317	0.07159	0.49236	0.12661	0	0	0	0	90.32601	0	0.08102	2.20376	0.98992	0.16654	0.10324	0.06815	0.01729	0.08103	1.60104	0.04884	0.00931	0	0	0.02665	0.44333	0.31152	0.06393	0	0.389	0.00248	0.00769	0	1.32015	0.04281	7.62719	0.01882	0.06048	0.25794	0.00848	0.01016	0	0	0	1.4873	0.20842	0.0538	0.32216	0	0	0.01191	0.07524	0	0	0.00189	5.20766	0.4887	0.12256	0	0.91595	0	0	0.02494	0.00319	0.00329	0.10559	0.02901	0.24607	0.00788	0	0.00355	0.00608	0.4971	0.00836	0	0	0	0	0	0.15583	0.42373	0	0	0	0.10797	0	0	0.17587	0.0471	0.28985	0.03454	0.59609	0.2054	0.06748	0.7565	0.04056	0.00722	0	0.00765	0.08016	0.01096	0.23944	0.19449	0.49422	0	0	0	0	0.00552	0	0.04258
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerobutyricum|s__Anaerobutyricum_hallii	0	0.17746	0.12489	0	0	0	0.14302	0.29619	0.14004	0.46058	0	0	0.00497	1.23201	4.59142	0	0.35087	0.42296	2.06727	1.39432	0.08451	2.15475	1.76573	0.86078	0.52831	1.0479	0	1.33095	0.49926	0.37092	0.12829	0.04178	0.02821	9.7331	0	0.09031	7.42954	0.77771	0.84635	0.26944	0.4294	1.9208	1.02326	2.89895	0.4131	0.73503	0.71604	0.97414	1.50049	0.37512	1.96079	0.44331	0.7563	0.69675	0.93726	0.97911	0.60673	0.43403	0	2.45093	0.277	0.4048	0	2.05031	0.11043	0.11693	0.07741	0.15394	0.00225	2.70318	2.16389	1.24779	0.56208	0.14594	0.29175	0	0.20597	0.16506	1.09569	0	0	0.2055	0.22087	0.12958	0.86931	1.97988	0.35955	0.52826	0.0569	0.41003	0.04292	2.24718	4.55942	11.41155	0	1.9118	0	0	0	1.11311	2.0209	1.4937	1.96637	1.60228	4.76556	2.24877	2.90499	0	0	0	1.38993	0.19659	0.12191	1.84839
