Gene Family	P10T2	P10T3	P10T4	P11T1	P11T2	P11T3	P12T1	P12T4	P13T1	P13T4	P14T1	P14T4	P15T1	P15T2	P15T3	P16T1	P16T3	P16T4	P17T1	P17T2	P17T4	P18T1	P18T2	P18T3	P18T4	P19T1	P19T4	P1T1	P1T3	P1T4	P20T1	P20T2	P20T4	P21T1	P21T2	P21T4	P22T1	P22T4	P23T2	P23T3	P23T4	P24T1	P24T2	P24T3	P24T4	P25T1	P25T3	P25T4	P26T1	P26T3	P26T4	P27T1	P27T2	P27T3	P27T4	P28T2	P28T3	P28T4	P29T1	P29T2	P29T3	P29T4	P2T2	P2T3	P30T1	P30T2	P30T3	P30T4	P31T1	P31T2	P31T3	P31T4	P32T1	P32T3	P32T4	P33T1	P33T4	P34T1	P34T3	P35T1	P35T3	P36T1	P36T3	P36T4	P37T1	P37T3	P37T4	P38T1	P38T3	P39T1	P39T4	P3T1	P3T3	P3T4	P4T1	P4T3	P4T4	P5T1	P5T2	P5T3	P5T4	P6T1	P6T3	P6T4	P7T1	P7T3	P7T4	P8T1	P8T2	P8T3	P9T1	P9T2	P9T3	P9T4
K01874	78.9116	107.184	87.6646	66.4311	152.925	85.2225	80.1741	77.5502	8.27585	291.778	81.3749	177.819	10.1325	181.335	19.6672	93.0481	126.74	215.148	120.283	92.8854	93.2789	62.4996	98.0909	94.3692	103.82	55.0372	48.4243	35.3771	97.4863	249.487	231.385	19.0461	60.9095	108.762	202.78	15.2921	111.712	15.9216	36.5342	206.522	128.796	95.0589	54.5363	88.9922	87.4865	35.4683	65.9412	142.748	131.651	110.074	81.4747	80.7515	65.2936	131.444	101.437	54.7804	70.3227	85.5224	126.057	126.641	104.63	72.0746	1.99285	219.199	109.185	63.8797	147.015	103.072	98.392	76.5808	42.1265	73.8706	82.7749	73.943	87.8323	162.121	53.2752	93.9283	153.568	121.333	192.792	57.1157	88.7183	75.9284	130.809	74.8502	60.9017	87.4869	126.609	63.1704	141.438	79.0208	126.124	83.6729	143.803	95.8966	126.755	47.5581	85.1045	79.3446	74.8986	128.544	89.7397	103.624	94.4667	99.6156	170.167	189.365	196.383	83.3003	74.3276	106.959	63.4902	98.2872
K01875	6.48893	7.05058	7.12849	6.9372	404.662	19.2967	19.083	11.3083	0.0658518	2.34197	26.6731	136.332	126.031	131.973	20.4149	2.44311	55.1423	159.37	33.3179	5.05946	17.5609	10.033	21.06	16.9613	15.895	13.7998	6.15997	2.43712	49.9622	194.237	91.0561	2.60984	42.438	46.0848	102.859	8.97052	34.3983	3.20545	48.1212	117.436	72.7064	51.7948	9.70953	9.23319	28.3836	8.06629	29.7228	30.0615	56.4296	15.5978	8.48686	25.7316	26.5328	9.25706	7.92677	11.7785	12.7235	4.79722	66.8849	69.9372	33.2755	9.7764	64.0066	32.6602	35.6883	8.72665	20.0271	26.3265	29.9835	29.1975	14.5703	27.712	27.4895	17.4158	33.2574	57.2211	37.1773	8.99008	33.7349	42.722	127.27	6.91121	4.3316	23.1753	64.4734	13.9702	21.5135	25.6603	51.1782	11.8005	45.0618	29.0792	17.5331	12.0148	58.2587	44.6756	44.7825	69.742	3.53524	33.9644	18.3687	49.1396	14.9106	14.2971	18.3626	4.30713	29.4189	12.9583	247.136	40.6147	3.53553	63.4184	42.7155	3.27825
K01876	78.4417	70.4264	66.4584	18.6303	132.827	44.957	80.1765	66.8525	35.0644	185.92	74.2922	37.1521	132.592	151.321	10.1312	89.2318	108.659	149.157	91.8909	64.643	84.1001	57.7488	58.5726	74.5745	76.5104	58.0324	37.3013	34.2321	51.7304	158.972	148.133	20.3223	67.4162	54.3327	157.607	14.4214	59.9563	21.9231	71.1491	96.7213	92.0341	65.9954	45.5778	23.1994	47.4851	35.4377	55.0076	65.4524	92.0622	124.755	87.6907	25.9024	57.4213	103.611	59.8166	67.7153	68.2782	116.556	138.067	63.2719	44.4392	59.0884	2.7287	164.654	123.736	64.6525	72.9403	63.5925	91.8512	50.1267	38.7783	44.0774	72.3745	62.4256	74.4539	138.156	39.8571	68.3826	102.073	75.7857	39.886	49.0098	87.9222	62.7601	81.1352	47.9505	48.1215	82.3779	83.8716	63.1685	112.867	50.6495	104.079	36.2647	102.994	84.1744	116.199	92.4417	68.9634	93.4858	87.5431	94.9887	76.2385	74.1529	66.286	64.101	135.222	4.04106	246.243	25.5168	17.7864	91.3659	207.999	66.44
K01878	8.64078	4.40208	4.02819	4.05236	145.433	10.8516	14.5823	3.74988	1.41136	6.29702	1.16609	1.21583	111.063	3.56296	6.45566	1.88577	4.24692	2.4129	2.17215	2.95173	2.15784	6.0686	4.56594	1.24089	0.810222	11.8908	5.69699	0.137792	2.15463	1.22613	0.970646	1.30776	21.4585	3.16124	2.60013	3.95029	12.0588	6.29915	37.1678	6.53432	10.4285	11.6428	9.00412	2.0528	1.48401	7.87637	10.8952	9.28242	7.84233	6.37548	3.27278	1.32523	10.9761	6.1682	6.42579	18.8715	4.1153	1.42368	53.1687	37.7542	7.88073	10.0408	2.22138	18.0388	72.3924	3.19288	7.2017	4.28494	22.8678	1.08129	1.15765	4.15366	2.40105	1.86608	2.87322	2.25309	4.0552	5.76882	6.44076	3.75419	6.596	2.93391	0.645075	19.4206	6.42282	2.83332	2.68592	3.70957	4.48424	4.6735	2.09249	3.09015	1.80529	12.4044	12.0385	23.5813	8.42841	2.64167	0.58197	3.79278	0.182365	4.05774	0.618523	0.502966	14.91	2.92476	4.7408	4.27635	4.6775	22.6656	2.98796	0.683241	148.106	1.23383
K01879	13.3019	3.11631	3.73704	3.29598	122.456	10.4976	10.3578	4.15694	0.475149	1.66256	0	1.77704	121.306	4.01614	10.1548	12.392	16.4092	10.3796	2.64485	2.24574	6.88008	5.34615	6.05613	0.210382	0.212339	0	0.922832	0.399164	1.98649	0.876364	11.4167	1.63893	23.1687	2.15116	26.0414	3.97361	11.9634	0.638372	43.7385	3.11574	30.8202	10.5741	1.87357	0.184674	0.173435	0.612535	2.60796	9.06558	2.02091	0.199562	1.01934	26.8293	6.22184	9.00271	5.17793	17.0583	2.4662	0	32.5825	33.0848	6.51717	13.9487	1.61776	4.49608	4.66495	2.35352	3.64497	6.54144	15.3544	9.19018	12.5324	11.1343	25.0099	10.7705	22.2955	48.7134	16.8637	7.42578	26.5563	1.82473	0.116573	2.23624	3.20689	13.8398	6.3678	1.44801	0	1.9097	2.36991	8.61642	14.8302	2.56067	1.8116	8.40762	11.7779	27.6238	1.24696	10.1096	4.08117	17.2771	2.72144	26.5738	18.8174	18.0849	10.4875	3.62333	3.97134	3.29071	204.585	23.6609	1.69067	1.18047	0.245569	1.28815
K01880	0	3.8965	4.24966	1.7741	1.36587	8.66259	4.71964	29.5943	30.6472	194.232	1.55647	0	3.00155	142.435	12.5482	0	75.5802	145.117	78.5633	10.0976	23.8174	24.2803	30.008	32.5168	43.2289	23.0979	3.15835	13.8916	45.6925	155.406	134.07	1.86394	40.3784	65.8284	131.06	7.64091	55.6015	8.93556	14.7195	94.4099	51.5901	54.1618	9.38899	16.7563	29.9907	15.0167	31.6685	55.6099	85.4552	88.5158	39.6032	14.9638	39.7849	15.9178	8.79949	8.93841	32.7007	17.3319	60.771	33.0973	19.8933	8.19103	0.989848	159.651	34.2536	16.3783	41.2652	21.7776	1.91308	22.2634	6.48338	7.86636	20.6508	3.50952	20.0172	8.25214	21.5276	11.2475	26.5811	38.564	11.3365	6.74681	6.48974	14.1725	60.5893	35.3193	19.5165	23.2305	47.3511	31.079	48.5828	39.3125	46.6791	22.164	53.7005	25.5515	47.8861	9.76926	0.761515	49.6908	63.9157	38.5512	15.4726	15.2336	33.4039	22.0243	110.911	0	7.10217	2.19871	21.8653	69.0582	35.0478	33.72
K01881	71.4513	56.0465	54.9546	138.949	140.997	45.6475	92.1022	68.9625	4.58227	23.4552	89.7166	175.673	127.223	156.705	7.38445	98.9981	109.59	128.827	58.2772	72.2877	75.531	45.0316	47.9648	67.647	70.1642	51.8053	61.1382	55.0767	74.3506	124.673	128.807	15.7502	53.034	78.4525	92.1395	14.7762	52.7766	40.6501	67.4989	85.2579	91.9026	62.2465	46.2487	18.5781	58.537	118.968	46.9565	41.2001	103.661	93.3736	73.27	80.4815	88.7872	122.765	82.4558	55.9981	118.964	111.832	107.256	70.217	66.6928	74.735	3.67883	24.6581	46.0133	93.6802	52.121	51.5903	83.0085	48.596	47.3386	82.6498	94.0598	70.9427	103.486	143.139	46.3522	73.6023	104.002	92.7854	154.918	79.2435	64.1782	40.067	107.776	80.7518	102.417	83.3207	83.8595	86.2433	97.1046	47.8321	106.01	33.8159	93.9499	100.122	106.327	53.2568	112.493	119.358	107.225	80.1289	74.7582	71.087	56.6947	88.5341	53.7389	16.2615	248.65	32.6373	8.0542	78.0952	41.8568	63.5041
K01883	57.3157	51.9407	61.4162	4.7051	213.62	44.6891	70.0805	51.4932	5.10745	261.534	70.0624	21.3218	125.91	157.917	8.08347	82.716	87.3179	170.716	86.5261	93.7761	81.6738	53.4538	67.736	88.1228	97.1804	18.9405	31.1392	43.0336	63.7898	227.214	134.274	16.2968	66.7485	72.4572	173.039	11.3267	62.3659	15.0858	67.5076	100.806	83.4132	81.616	29.1276	33.1512	45.3633	95.8936	28.07	94.0696	105.988	92.6815	31.5641	37.0632	43.0591	126.752	26.1316	73.9338	57.4369	99.4182	99.1337	80.0991	52.6635	94.5513	3.54662	189.982	58.8884	68.1352	73.4693	62.5188	58.979	47.9464	40.1047	58.919	68.5448	64.5628	56.0211	68.9374	20.7225	87.0088	73.4679	46.8649	29.7985	47.3294	62.5269	83.2652	68.2764	59.8465	81.2422	84.0464	91.1318	68.1259	103.858	52.0709	74.1107	53.5272	75.3154	82.7413	66.6328	39.2702	70.8309	64.7864	53.1062	64.3509	29.8518	38.3424	79.2367	75.0338	146.707	95.4529	229.156	37.2297	6.63482	61.86	34.0636	39.5212
K01885	74.2125	83.1168	73.3739	21.4918	2.89283	55.604	66.902	71.0309	26.898	267.543	52.5945	163.876	6.18657	238.588	13.403	100.592	103.591	209.754	78.027	67.3831	85.299	62.3908	78.6437	101.442	103.578	45.0611	58.2278	36.9128	83.2958	302.697	156.661	18.633	52.558	91.1957	157.457	18.6577	57.0252	15.7362	38.8647	140.479	102.046	82.3681	31.4565	20.4741	50.9022	43.1788	47.666	102.186	273.238	111.923	42.2368	98.8315	61.7575	105.239	66.9147	61.6181	44.3201	89.5628	106.809	48.6908	65.7409	75.8979	1.87453	196.336	74.8101	76.4577	99.0532	71.8403	65.4246	91.2443	31.268	74.085	58.8933	49.9749	64.5331	111.037	58.5525	87.5168	77.827	87.3161	139.479	64.4411	76.576	64.8413	88.3325	61.7846	64.8608	98.9636	103.56	68.5319	135.273	61.4527	85.9602	42.1498	95.0271	54.6666	85.8723	40.0437	63.2892	60.4807	59.3984	94.4583	70.9062	74.3063	55.9316	52.4346	150.512	4.15784	32.4239	10.1958	16.2532	111.918	55.9926	81.6838
K01886	6.85913	0.56264	0.283744	0.972207	0.467989	3.80428	7.03451	1.6452	0.469692	1.61984	2.55684	6.62758	0	1.08907	7.32874	9.61392	20.5216	13.7094	0.718035	4.3006	6.19029	4.05129	5.03822	2.63327	1.89665	5.24071	18.267	3.06687	0.401349	0.0753558	15.8716	1.77147	2.4183	0.642468	1.05964	0	0.609202	3.56856	5.79572	1.43341	19.1737	1.29148	4.8482	1.85386	1.4786	65.5464	1.76077	1.85966	1.40989	2.30103	3.52916	31.2829	6.54638	0.494523	1.48095	21.1784	5.2582	3.85448	3.47172	10.1115	2.01044	6.41234	0.337395	2.1128	0.76024	2.01729	1.69136	1.85284	1.99006	4.60257	6.9879	10.5089	24.4266	13.4946	12.7324	9.01783	7.24096	3.61504	1.12539	1.81914	2.95061	1.6214	25.0899	54.1581	1.13892	10.7935	7.23286	3.51544	1.30551	13.1321	16.352	3.0429	1.04085	6.28122	1.74202	3.67587	8.12802	5.35406	2.71246	5.79397	5.77764	3.22213	17.8062	15.1017	3.67403	3.16637	1.36302	2.49073	0.302039	10.8572	1.18045	0	0	8.54935
K01887	57.3762	51.058	46.5512	9.66464	145.097	41.0171	64.2381	59.6879	30.8853	74.4501	72.2183	27.9324	129.756	167.678	6.67945	82.9652	106.9	168.389	69.7102	69.9362	65.693	47.6902	43.1997	48.5935	51.6374	41.3485	39.3544	31.8511	59.9026	183.821	138.721	21.0596	72.6591	49.4105	120.578	13.7926	51.001	29.4416	85.4793	76.8493	84.0792	54.9671	23.2645	16.4924	43.3217	31.659	46.128	44.1359	58.6287	73.43	62.76	38.881	71.6736	104.095	31.4874	65.4424	45.3505	82.0482	117.526	70.531	53.485	55.7635	121.224	99.6405	127.293	43.1701	28.8495	34.1019	50.1713	35.8727	37.5956	33.9686	81.5547	51.0478	58.6795	123.742	45.5893	65.4827	85.5296	58.9433	35.0614	31.5871	54.6716	48.3965	84.0428	61.6086	46.5702	74.8639	80.9491	70.8754	111.513	48.027	75.1984	53.9065	99.4752	75.4458	77.5153	101.821	76.8862	86.202	79.9596	66.9643	60.7154	55.1148	71.4668	74.0186	73.3357	21.8309	242.428	38.6916	32.7094	99.8944	208.304	66.1787
K01889	45.0311	29.7458	42.3211	11.1624	151.383	44.1563	82.7741	57.7209	9.6654	169.583	49.8246	24.6998	122.48	153.951	17.0463	77.3874	78.996	142.766	77.1893	75.5812	71.1804	46.0074	63.8965	67.8038	69.7739	41.744	21.3522	39.6807	49.0665	150.451	142.135	15.1217	51.7732	81.1015	155.287	15.5401	68.1257	18.0644	58.5988	73.9589	80.0006	57.0223	25.0354	12.5076	30.7335	36.2318	42.7381	75.0304	170.799	119.007	63.8459	58.8499	59.0762	108.848	34.7906	63.81	56.4663	98.9795	118.331	70.0751	55.9369	69.3065	3.41917	155.443	123.251	59.327	54.0987	52.6182	74.2851	70.3632	36.6465	53.6471	61.9479	49.1867	67.4351	108.113	55.0909	57.0364	86.738	57.5662	35.9787	37.4118	52.5801	41.8517	67.5787	56.6543	56.6746	87.3067	78.1099	65.3158	73.4113	43.7682	79.3619	56.2941	101.336	74.3167	71.9555	41.5626	58.8604	72.9353	67.7422	79.7666	29.4294	29.6588	63.8106	77.6631	109.53	7.03839	221.155	27.2239	12.9986	77.9347	184.736	34.668
K01890	35.1331	20.9526	9.46771	100.525	137.819	39.5832	43.596	18.9976	0.257104	13.2219	32.0733	17.7334	114.419	107.911	18.2646	56.8302	34.8663	35.1016	25.689	16.6092	44.8874	41.0518	22.535	25.64	30.091	34.2866	12.1243	21.1298	28.6228	9.77594	63.9306	5.58835	40.8431	71.4248	71.8551	6.7433	39.1338	28.058	54.1979	11.6824	29.855	45.8215	37.3168	13.4943	23.8282	27.4621	43.5856	17.1256	27.0541	14.3193	38.0825	15.5004	70.42	50.3479	66.1045	12.2429	58.9155	41.3978	50.2283	42.2401	41.0142	30.4541	3.26113	20.3529	30.3651	45.732	22.9941	25.0573	45.6781	34.5088	30.2866	39.0844	37.0075	46.1045	76.7602	66.9778	23.0101	19.5193	60.868	49.9927	18.4474	42.2139	40.2462	27.6829	52.4006	58.3254	54.3037	40.6329	34.4714	47.8469	15.8473	24.9409	43.8858	40.2269	66.1686	61.4625	58.544	14.176	39.6847	58.6072	42.9822	50.5134	21.5139	19.2297	27.4111	22.7088	35.5908	13.3424	226.728	24.4971	8.29602	42.5249	24.6048	33.9811
