Gene Family	P10T2	P10T3	P10T4	P11T1	P11T2	P11T3	P12T1	P12T4	P13T1	P13T4	P14T1	P14T4	P15T1	P15T2	P15T3	P16T1	P16T3	P16T4	P17T1	P17T2	P17T4	P18T1	P18T2	P18T3	P18T4	P19T1	P19T4	P1T1	P1T3	P1T4	P20T1	P20T2	P20T4	P21T1	P21T2	P21T4	P22T1	P22T4	P23T2	P23T3	P23T4	P24T1	P24T2	P24T3	P24T4	P25T1	P25T3	P25T4	P26T1	P26T3	P26T4	P27T1	P27T2	P27T3	P27T4	P28T2	P28T3	P28T4	P29T1	P29T2	P29T3	P29T4	P2T2	P2T3	P30T1	P30T2	P30T3	P30T4	P31T1	P31T2	P31T3	P31T4	P32T1	P32T3	P32T4	P33T1	P33T4	P34T1	P34T3	P35T1	P35T3	P36T1	P36T3	P36T4	P37T1	P37T3	P37T4	P38T1	P38T3	P39T1	P39T4	P3T1	P3T3	P3T4	P4T1	P4T3	P4T4	P5T1	P5T2	P5T3	P5T4	P6T1	P6T3	P6T4	P7T1	P7T3	P7T4	P8T1	P8T2	P8T3	P9T1	P9T2	P9T3	P9T4
UNMAPPED	109855	141423	136970	173560	110135	114220	182743	160948	116747	135362	155514	175450	384270	126829	91136.7	150818	183552	152179	173364	155261	159747	387804	182455	161687	159129	208774	180344	179944	140432	136548	145373	130930	246349	165259	142126	103252	163941	163889	233770	173006	159134	143059	150618	206238	191608	198950	192451	183687	143440	155280	180356	177198	182958	140474	130591	111490	169111	156412	138638	166928	167648	133372	141690	138320	142349	143108	149192	160190	176539	168985	146059	171431	146990	139509	169592	138232	113557	160680	166499	144390	196184	144903	225470	234417	165408	193184	168836	129349	158542	152101	155235	160665	158924	186784	147733	173634	166698	115925	140443	161366	165662	181966	207065	226368	161735	171781	162063	163008	160186	116487	170921	151468	286877	162716
UNGROUPED	835954	822928	822974	790119	786541	828448	767390	792962	863637	764204	810158	772689	534258	779500	849527	799202	757693	756806	769988	780358	784580	563869	762717	783747	785935	754415	775308	788809	816581	768077	767399	856310	706926	781542	765413	886019	783762	818333	704263	757750	773646	805170	811146	760024	775349	764613	770467	764088	784958	786015	771846	782593	760404	775080	832497	824938	779529	778883	790804	760341	782708	808043	812962	768754	781637	806483	793519	786175	770799	785071	817776	785163	800223	815385	763247	781034	851216	781283	763045	816188	756439	810103	736920	716335	774705	752405	778562	809063	779584	778790	788270	798946	779542	770877	783616	768849	785800	837565	819253	781046	779670	754431	755831	738578	774982	765871	763832	784519	692219	836476	803340	793955	639225	792263
K00001	1.21828	1.64149	1.05213	1.22562	0.11685	0.599629	1.21834	7.38816	0	0	0.531605	0	0.230769	41.9068	0	0	6.16674	22.6775	0.311289	0.142949	2.913	3.32065	7.57431	10.326	8.38844	14.1545	5.93124	0	9.97803	35.3174	5.29218	0	0	11.99	1.53218	3.91181	7.33768	1.64651	0	9.69926	9.78359	8.98554	0.285546	0.280031	0	11.1712	6.47863	15.6064	82.9338	17.3326	1.74777	15.6383	0	0	1.11302	1.30435	0.801321	0	0	1.2841	2.09629	0.299982	0	3.8197	3.19773	0	0.969812	1.68755	0.100742	23.4219	1.13851	14.4852	0	1.99903	10.0361	0	15.6609	0.308074	3.71272	5.63472	7.64641	0	0.807086	0.483477	6.92857	0.987259	0.557008	4.19164	2.43326	0.651626	3.7723	5.22687	0	0.51961	11.0154	12.7624	3.81238	0.91231	0.582606	2.88316	4.26243	11.0544	3.06232	0	0.62829	0.460068	0.602369	1.20006	10.2829	0	0.814723	4.13385	2.82121	0
K00002	4.15559	2.82322	0.859957	2.16722	0.537937	0	0	9.78155	0	4.0899	2.81471	7.22818	0.322317	0	0.162147	0	6.58072	4.87765	10.483	14.3398	2.82663	2.72601	15.1301	5.58687	14.3115	33.165	21.4924	3.52849	3.95051	2.26241	7.90564	0.64586	2.28517	4.42888	0.7011	0.253587	14.9424	0.404252	0	2.05091	4.13981	5.87882	5.81233	32.7798	8.10327	3.83195	0.885994	42.5734	4.26976	11.044	0.829048	9.75828	2.11309	0	0.805653	3.5303	4.86845	1.54738	5.1203	10.7663	12.3713	6.21409	1.10366	0	1.29655	2.85321	4.37932	4.7408	0	3.6316	2.42957	7.52722	6.56631	5.82943	16.8817	0.554759	1.6034	14.3141	26.1788	5.30754	22.5193	2.33871	1.69274	2.33056	8.30006	5.89615	4.33399	9.10473	23.7069	2.90964	4.19203	5.43282	9.62016	14.2809	3.01053	23.8939	7.01308	6.40355	3.05648	11.4407	12.9509	4.29785	7.15261	5.46978	12.7545	20.5081	7.40395	127.513	0	1.29935	0	0	0	0
K00003	10.0044	3.57224	1.75696	2.38059	1.0895	8.13497	12.7428	10.239	26.7508	5.73523	3.59845	14.3604	0	11.3777	4.75792	0.198096	4.4759	2.4381	4.92396	14.775	6.56236	18.366	10.4182	9.02998	4.57881	32.2144	37.2393	9.43657	7.46658	6.26568	3.80544	1.03863	26.716	2.70465	3.18461	2.30539	14.4299	9.27047	32.7956	10.4809	4.88263	6.25518	5.59004	14.103	3.82244	10.5	16.3648	8.39444	12.5378	3.63075	9.35852	3.33835	17.6123	24.6131	6.62928	4.4815	13.247	7.08929	20.9415	8.73782	14.8178	5.57131	0.240096	3.69127	7.0784	2.75328	1.84094	1.75225	23.1786	3.95835	4.29395	2.33612	3.70299	13.6112	22.4814	0.909289	2.79096	5.04929	8.86012	5.82268	15.8455	4.0108	3.60553	2.3395	2.49494	31.3405	7.33722	8.55076	9.70034	21.2314	3.55608	4.73017	10.9584	4.7408	9.2981	12.756	19.0951	2.25128	1.10307	8.80352	11.8758	6.80044	4.88188	4.28812	15.8014	9.64638	19.3561	14.0572	8.77359	3.45633	22.8626	16.0987	9.89432	27.3534
K00004	0	0	0	0.191222	0.970617	0	8.07242	0	0	0	0	0	0	0	0.35047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0564	0	0	0.0986896	0.136005	0	0.633687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0968027	0	0	0	0.348726	0.278191	0	0	0	0	18.1611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.320257	0	0	0	0	0	0	0	0	0	0.266629	0.13838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00005	10.2399	15.4289	6.48419	1.34851	0.273219	9.74781	1.26919	7.16997	0.292493	4.51288	6.51201	2.92235	1.68009	9.9517	29.1898	0	12.6538	26.0727	26.473	4.21924	12.7145	21.725	28.4537	16.3176	11.0682	2.81322	7.95814	5.08616	24.2504	13.8307	4.45181	0.84792	12.1791	28.2817	9.56693	3.83841	40.4596	6.58429	7.18353	39.493	27.0185	22.6272	24.3482	14.4284	16.4077	8.38644	20.1391	4.29138	3.02464	2.09374	32.8839	27.9341	12.7091	3.6789	13.7601	9.60321	7.99207	5.66893	1.42781	56.9819	33.1227	16.4496	0	11.4443	47.2205	7.06589	29.0673	28.786	2.58354	25.961	7.14529	13.8749	5.90282	4.90175	12.0042	0	15.7818	1.98217	16.796	0.613534	10.5937	7.01118	3.52663	12.9572	19.4279	20.7023	9.6455	6.97599	12.0739	25.0251	6.86703	14.131	17.1069	20.3536	49.0892	8.97986	5.24234	2.49822	1.53951	8.74594	11.5356	26.9059	10.1812	9.65015	20.8575	4.46638	19.4983	1.09911	160.829	5.35835	5.80469	0.669188	0.371138	9.1575
K00006	0	0	0	0	1.13731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.41063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00008	12.9131	3.53583	3.51956	1.05793	0	1.93342	0.89247	0	0	0	6.21681	6.49137	0.545845	0	4.45623	0	1.77041	0.655987	2.32144	3.73397	1.24353	3.56101	3.80169	5.19644	3.06484	4.47645	19.5588	0.222451	2.14132	0.566474	2.18945	0	0	0	0	0.694509	0.586126	0	12.2127	4.6861	3.79229	0.803314	0.85227	1.52715	0.816394	0.252242	4.51391	0.380578	0.56501	0.533738	2.81982	0	2.61084	0	0.265935	0.155191	1.65972	1.80342	5.67973	2.40488	4.03373	2.66314	0	3.36808	5.70543	2.43817	2.33059	11.0227	2.37038	2.43704	2.05201	0.428241	3.43382	1.73525	3.18564	0	0	2.18623	2.24723	0.904239	9.24247	2.45806	0.919297	1.23284	0.190316	0.314543	0.863472	4.22435	5.60066	0.495627	0	2.39802	0.237832	2.00924	4.81854	2.14663	7.073	3.33807	1.86663	0	0.879577	2.25084	0	0.40915	8.82287	2.54848	3.96717	3.42934	0.442922	1.65845	13.1587	0	0	0.695808
K00009	11.1658	3.41867	2.88663	0.679081	184.675	13.6136	13.0052	3.53262	16.318	5.32515	0	0	0.0871539	7.71961	18.7349	0.112885	1.60604	0.766924	1.49796	1.44538	1.20153	4.05061	3.91728	2.90417	1.65138	2.24504	1.08632	0.074702	2.1592	1.27564	0.813837	0.495515	8.43184	2.27379	2.42778	0.461154	2.73006	1.17302	13.8965	5.57845	5.94448	2.93652	3.84621	6.43854	0.0653266	0.221686	3.88686	1.30124	0.917387	0.578518	2.27813	0.43442	9.253	0.310306	5.96576	11.3246	4.08695	1.48998	9.74814	26.5517	4.6832	7.81516	0.474199	9.08214	3.42682	1.14395	3.96441	0.630143	29.3093	2.72737	5.1877	1.91988	2.43022	1.80913	1.63957	0	1.84304	3.98793	1.212	5.08492	3.35573	2.3583	1.96857	16.9529	1.19702	1.30793	3.82224	2.23108	2.05823	8.06847	1.91562	3.35032	0.949156	6.46704	1.99582	3.70915	1.16929	0	0	2.53695	8.10428	1.63694	0.278263	0.309522	10.1557	0	2.95909	3.14107	0	29.0093	11.5736	10.2678	6.25136	11.3256
K00010	13.7685	1.8899	0.228187	0	0	0.503826	4.32979	7.82819	0	2.11206	3.19162	23.1173	0.340805	0	1.82996	0	3.79735	1.56745	2.73395	6.77044	4.44928	3.08853	4.22875	3.16634	4.29063	11.356	3.3764	1.3124	0.938897	0.790781	4.44782	0.443368	10.9844	2.39909	0.293487	0.55039	4.09088	0	11.9678	5.62378	5.15022	2.98469	2.22864	11.6611	1.79234	2.89844	3.79684	17.0081	1.91693	5.86033	3.31035	6.00283	1.03448	0	1.0849	3.56328	4.65898	3.88572	13.8499	11.2393	4.37384	2.81724	0	0.573503	1.33431	0.86344	1.94184	1.44445	2.02125	2.55719	2.29481	2.53557	4.30724	14.2361	14.6217	0.161654	1.61923	8.13624	8.40127	1.97992	10.0308	0.910328	0.422665	11.5154	2.85381	3.16421	1.2952	3.52773	12.9278	5.36549	2.99059	1.67241	4.42807	8.55541	6.15441	13.6179	6.21499	2.37405	0	4.82715	15.076	2.35979	2.16801	2.04655	4.90083	8.84313	0	80.2545	0	11.1354	13.7098	8.5155	4.15536	9.88025
K00012	30.8894	14.269	33.3361	4.29169	0.298692	20.2528	32.8749	27.2544	0.443688	6.72809	30.5952	7.20431	1.5576	8.49652	10.2841	23.0417	6.72443	0	5.14308	48.3021	30.8136	14.1074	25.6592	31.6182	27.493	3.95504	15.4892	25.518	3.57625	0.154398	11.0906	8.34858	1.54007	22.9402	11.1654	1.00731	7.19313	4.89554	17.382	0.531985	17.2714	10.6318	17.86	3.33924	7.51755	6.52034	3.30116	2.47867	3.03107	6.08358	18.1483	5.77914	20.9187	68.1347	8.82796	55.7405	16.0173	53.6036	12.2418	16.0731	16.0319	46.8345	30.0325	4.47673	12.9833	40.705	17.9693	25.311	26.0204	14.7341	30.408	22.2058	31.0864	24.8103	46.4481	62.3003	10.7545	39.2199	39.8758	6.20737	4.66259	30.8159	20.9843	8.44606	18.7472	21.7349	27.2266	60.2286	52.8946	44.0196	19.1889	13.4646	30.7515	8.33473	20.1734	10.723	5.68693	14.318	23.7597	23.9525	20.4944	19.9457	12.0937	12.472	26.6064	37.317	8.61237	5.22099	0	0	1.16169	6.72462	0.272116	18.7389
K00013	33.7909	22.7191	35.2556	4.76112	0.800847	23.4496	35.4647	42.8484	4.14827	218.243	13.1245	1.39479	4.63647	151.504	21.3117	37.0089	65.0805	160.667	67.0556	67.9438	66.1322	45.8863	59.0873	72.9212	77.9953	12.5705	8.34817	27.5953	55.8061	201.674	135.65	15.172	50.122	66.2401	131.358	12.778	43.4829	11.5644	43.6822	94.413	78.3634	62.0716	12.2716	25.1639	32.1142	24.7046	24.2475	91.4378	170.533	84.3233	23.0803	57.3336	33.7812	112.383	33.2823	67.5804	37.0087	66.1232	67.2234	52.0306	29.3782	57.1123	0.833078	160.591	66.5682	48.4003	58.2387	51.1421	25.3572	64.3277	31.4963	46.0704	58.8908	63.3534	84.6856	99.4984	47.4197	61.9657	63.4426	45.0912	15.337	36.9445	29.4135	29.4657	67.4588	74.3891	43.8459	65.7546	83.7191	42.5706	76.5863	41.0892	52.1024	24.9181	63.4064	35.5381	37.4075	34.3813	42.3806	46.5746	41.0777	71.5129	25.1295	23.9451	53.1796	60.7987	111.594	76.3588	0	5.3482	2.02465	66.5233	25.2006	18.6025
K00014	41.8001	71.4978	63.5312	97.0206	3.11917	23.5395	58.2413	38.2971	0.973073	1.10212	65.8154	26.8374	126.066	8.7357	13.2102	92.1429	33.7355	2.25256	14.3079	67.0381	58.8428	28.6731	24.9818	50.5113	32.793	8.82808	54.0171	31.7134	13.5488	5.53645	27.1307	14.6349	10.4676	31.8455	18.7721	0.468609	8.26516	16.9662	47.9222	2.42931	32.6071	18.2589	31.4429	6.59916	15.661	9.80263	7.11531	8.38055	5.90203	8.37499	39.3887	18.4341	43.3997	67.5648	38.3001	51.7405	63.2898	76.1023	54.9469	13.6016	7.96991	49.3079	1.80149	13.1855	11.4735	84.7865	64.6833	60.4147	53.6443	29.3938	57.3258	69.1209	62.1198	63.4024	95.893	143.909	24.223	82.4948	101.152	30.6557	23.8653	69.2914	53.9565	23.8361	49.345	66.0891	73.1858	53.0622	34.6616	84.2052	69.649	23.2108	55.1889	30.6016	12.3347	19.528	43.8961	26.4829	51.9067	47.3335	36.7847	83.8024	75.5983	58.4601	35.5764	48.3562	25.5432	1.3158	27.3449	0.126089	7.19684	22.1734	0	69.9844
K00015	0	0	0	0	0.905533	0	11.1537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.483233	0	0	0	0	0	20.4713	0	0	0	0	0	0	0.582319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00016	5.31428	4.07594	2.66203	7.25206	367.589	30.3842	59.0249	25.2193	3.31169	172.54	5.0012	9.93473	111.927	244.934	1.58698	1.50755	107.065	239.78	75.317	6.89083	45.196	29.8522	89.8758	55.2264	55.6158	47.1404	22.7769	3.94057	66.5852	237.139	183.729	3.86157	51.1338	93.3996	183.24	19.4752	62.7871	10.5319	37.9419	142.332	101.996	75.4737	9.19189	9.69707	28.6751	24.6346	45.7453	106.659	256.42	95.3659	10.1239	96.9275	20.6042	22.0915	16.4894	6.36399	28.3436	8.45926	138.32	91.9392	31.2213	12.4039	3.41716	163.902	160.564	12.501	75.4611	49.5089	120.599	99.9477	27.4283	63.235	42.4664	28.5136	115.428	98.1982	105.251	23.503	73.296	79.3844	16.3587	6.73021	7.6064	16.4698	96.4401	31.4352	20.1259	42.568	76.2922	23.5531	54.3579	41.0615	30.6899	11.3533	98.3529	64.6707	67.374	26.7074	4.50151	50.4616	36.5836	125.743	34.113	32.2146	29.8946	6.23704	110.139	9.11511	544.044	26.7866	3.21534	99.4026	205.552	8.62225
K00018	16.3638	8.94039	1.05965	1.19822	0	19.8366	1.24178	3.75325	0.34708	0	2.63717	19.1245	0.223519	3.19585	4.57874	1.03148	2.37083	1.51631	5.26608	2.51941	16.5801	15.1127	9.79627	5.51579	5.03791	23.6921	8.00974	7.12993	4.66011	2.37042	2.97533	0.54633	7.13047	4.90689	3.31073	0.245292	15.964	2.86171	1.14274	3.99541	1.87647	11.0669	12.5266	6.27603	3.52147	15.2029	22.7098	4.07803	7.3419	5.68445	23.8986	3.60873	18.3559	15.7753	20.1095	4.51294	3.20887	3.63838	15.3427	4.9815	32.228	6.83908	0	0.866258	15.4912	5.75403	1.72645	4.31714	0.235745	9.86176	2.94903	3.02791	2.83472	15.0791	23.0422	0.654531	0.996819	2.46098	4.12325	5.11081	8.58895	5.23176	5.01959	1.04431	6.92673	20.3	3.77991	5.24902	2.5348	15.9327	7.00737	4.21645	3.02024	0.627984	39.7916	7.89688	9.54406	3.09192	0.415693	7.95541	8.1101	6.28261	5.54075	4.75143	1.88985	2.91591	14.4243	7.11317	1.68756	0	3.7363	3.19465	0.279365	13.8745
K00019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00020	0	0	0.366291	0	0.489346	0	5.82454	0	0	0	0	0	0	0	0	0	0	0	0.501196	0.864575	0.236315	0	0.740471	0.179837	0.483264	0	0	0	0	0	0	0	1.86593	0	0	0	0.3641	0	0	0.17115	0	0.42063	0.268117	0.645683	0.380812	0.261174	0	0.925245	0.224329	0	0	0.381259	0.216205	0	0	0	0.558439	0.216726	7.92914	0.475142	0.451113	0.144097	0.709373	0	0	0.33524	0.299411	0.365847	14.8839	0	0	0.440714	0	0.269788	1.41456	0.619556	0	0	0	0	0	0	0	0	0	0.685788	0	0	0.176179	0	0	0	0.770081	0	0.273349	0.328549	0.503191	0	0.276978	0.602538	0.375586	0.2478	0	0	0	0.430336	0	0	0	0	0	0	0	0
K00021	0	0	0	0	0.445853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.371141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.205778	0	0	0	0	0	0	0	0	0	0
K00024	78.7461	77.6481	66.0703	3.71555	0.805109	55.228	54.6472	44.7462	1.39211	5.02324	68.085	172.676	2.90687	15.434	36.7072	62.4466	30.9152	1.68456	9.51903	62.0791	55.6464	24.228	23.557	51.9337	34.0211	22.1006	56.5046	24.2643	6.06096	0.650188	7.71186	14.6912	0.528498	2.9816	5.07232	0.718189	4.01877	12.1507	23.7519	25.9744	25.1437	8.30309	23.4185	9.67095	13.6694	101.512	10.0544	3.37617	6.51826	12.6476	36.0148	17.9547	36.3437	99.5833	63.4133	73.8778	19.0449	57.9174	33.9896	15.4963	40.5524	49.7051	0	7.79701	21.8784	45.7883	37.1564	40.7516	55.1363	18.3975	32.4268	42.1724	51.8021	59.2633	45.7412	93.8344	2.8642	72.294	45.1426	33.8181	139.758	51.6376	62.5419	66.5965	1.78528	26.4032	36.8537	53.9466	28.9145	38.6966	62.3019	19.5391	54.6476	27.2822	27.4964	24.4057	44.0345	35.9784	74.7807	21.9595	26.2455	45.8982	67.9491	54.5	35.9994	49.0929	18.6347	2.59421	37.1013	23.8499	2.22941	18.0983	0.476355	53.8928
K00026	0	0	0	0	1.57543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.114476	0	0	0	0	0	0.163346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00027	16.1366	2.67792	2.39765	2.84924	0.561546	15.4505	11.0031	0.313218	0.195254	2.11009	1.98151	8.24513	0.251498	3.28096	15.0055	0	0.670836	0.942695	0.495977	0.946927	5.66458	1.02766	2.00773	1.07706	1.81328	0.210151	4.55126	4.02674	0.593774	0.505522	0.287988	1.67454	0.401488	0.826031	2.70466	0.0201712	1.61266	0.27311	6.63089	0.523946	7.01474	2.75215	2.15224	0.676937	0.670965	1.36873	2.40612	0.260825	0.25908	0.708681	0.305762	0.633784	6.55894	0.543046	3.46195	0.916167	1.87501	0.523189	4.86374	11.1248	4.52309	4.77054	0.609181	5.40979	3.55096	1.70996	2.87316	5.91176	19.7129	10.5735	12.6681	7.34177	12.9973	11.9001	29.755	39.306	10.853	4.80024	20.01	1.09116	0.295427	2.33159	3.49378	19.2672	0.693374	11.8118	4.98294	2.49537	1.53031	16.1011	1.30352	1.74174	0	1.35052	2.03886	1.08597	2.20932	3.04107	1.68436	6.38571	3.00867	20.0764	7.53612	8.16561	0.47934	0.715519	1.36277	3.65452	0	21.3568	1.55227	0	0	3.61577
K00029	1.38847	0.387408	0.0668687	0	0	0.770043	0	2.01475	0.0406152	1.54676	0	0	0.0297137	0.0615657	0.580862	0	0.104838	0.0308821	0	0	1.76821	2.64055	0.0696907	0	0	0	0.0632608	0.298974	0	0	1.08041	0.118936	1.58068	0.463786	0.0923014	0.0288233	0.207115	0.505015	1.83417	0.469723	1.26015	0	2.19307	0.394521	0	1.49349	0.16189	0	0.165307	0	0	0.775977	3.30991	0.443507	1.61745	3.81565	2.32261	2.52293	0	4.60091	0.143078	0.58664	0	0.233379	0.196793	0.131838	0.158834	0.886471	0	0.0907821	0.17648	0	2.61056	11.2344	9.56477	0	0.041932	1.40644	0	0	0	0.854158	0	13.5533	0.474589	0	0.754477	0	0	0.400016	0	0.330597	0	4.78743	0.322265	0	0.155847	0	0	0.328113	0	1.66557	0.512016	0.316785	1.53882	0.451682	0	0.896458	0	7.88616	0	0	0	1.22646
K00030	1.01773	1.18388	1.03712	2.50176	1.47138	1.26405	0.809696	5.07479	0.174699	0	0.169841	0	0.121098	0	0	0	0	1.08086	0.803147	0.820623	3.9221	0	0.326264	0.452249	1.85961	10.7549	4.8489	4.38526	2.86426	1.11854	0.91449	0.924054	0.43989	4.10243	3.39747	0.211381	4.76844	0.769902	2.65638	1.81706	7.06004	2.11446	0.748633	1.24502	2.35838	2.84171	3.82767	4.22612	4.87623	2.14119	1.23295	0.853446	4.8387	0	0.68237	0.234502	2.67495	0.53874	0	0.997208	9.25427	2.10088	0.961839	0.0853995	2.91044	2.97152	1.96055	7.1933	0	9.24011	12.2624	7.11124	11.3833	9.7879	20.497	34.5908	7.43346	10.741	19.095	2.25675	3.54735	1.54624	0.596314	0.727678	0	8.38193	2.62864	1.10755	0.819618	5.82018	5.14358	0.550629	3.73792	6.91138	0.540905	0.254363	2.38307	2.47281	1.31371	9.10344	3.53791	13.4747	8.20289	6.79248	0.264355	0.7815	1.63784	0.490613	1.32641	0	0.46707	0.304234	0	2.4135
K00031	10.9256	16.089	30.5377	3.41259	0.24168	4.76484	24.8242	19.2842	0.796036	3.68912	9.79188	7.75124	54.5057	9.77065	11.1548	17.9309	5.19819	0	5.19585	67.6528	19.1387	19.6912	22.7672	24.8355	27.0116	15.5809	30.9705	19.2431	6.25365	0.497195	2.6182	5.83568	1.86675	1.2831	1.91017	0.466126	2.46873	3.91105	19.4526	3.87735	19.872	1.87785	8.58561	7.10198	10.9506	10.8093	11.8581	4.86111	8.06375	9.10705	22.4271	4.79494	14.0305	52.774	3.8076	34.205	17.6163	38.739	11.4613	3.86327	4.81735	40.5687	1.66023	1.81857	3.91634	30.7202	12.3605	22.4752	26.6388	11.2401	21.3623	19.4572	28.0956	39.6148	33.571	59.8333	12.599	30.2407	28.8144	9.23395	11.3582	23.0209	6.80292	5.22866	1.41912	13.1878	22.5259	23.1379	16.5002	19.855	15.9638	7.33614	21.0786	13.4578	7.6483	4.53627	7.83473	11.5433	18.0748	17.877	11.1948	22.0971	11.5822	13.297	32.4418	55.6292	5.09905	4.64777	1.66577	1.48493	0.0824946	4.45965	0	9.58821
K00033	7.09231	1.25885	0.141927	0.352195	0	17.0414	9.61272	0	0	0	0	0	0	1.11621	0	1.17498	1.30981	0	0	0.31198	5.62094	0	1.12385	0.457602	0	0	0.425425	0.430532	0	0	0.216045	0.553605	1.83719	0.405379	0	0	0.701427	0.548413	0.493153	0.177807	0	0.270013	3.26989	0	0.532843	1.58048	0	1.54132	0	1.12462	1.61483	0	10.5496	15.5287	14.5095	0	0	1.07003	13.4634	10.2109	24.6997	4.1322	0.78711	0	12.2062	4.25897	0	1.38007	20.9592	0	0	0	0.655692	0	0	1.04937	0	1.61701	0.244174	3.00265	0.518299	3.57903	8.55196	3.18148	0.193793	0	0	4.03682	0.106201	0	0.778048	0	0	0	21.4866	7.60632	0	0	0	0	0	0.154012	0.586641	0.726046	0	0	1.23546	0.590596	62.0697	0.14234	0.420555	1.94018	0	6.5063
K00034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.301103	0	0.218042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.67083	0	0	0	0	0.534544	0.388736	0.193433	0	0.306387	0.647202	0	0	0	0	0	0	0	0.221569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137494	0	0	0.410616	0	0	0	0	0	0.254342	0	0	0	0	0	0.15708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11723	0	0	0	0	0	0	0	0	0	0	0	0
