Pathway	P10T2	P10T3	P10T4	P11T1	P11T2	P11T3	P12T1	P12T4	P13T1	P13T4	P14T1	P14T4	P15T1	P15T2	P15T3	P16T1	P16T3	P16T4	P17T1	P17T2	P17T4	P18T1	P18T2	P18T3	P18T4	P19T1	P19T4	P1T1	P1T3	P1T4	P20T1	P20T2	P20T4	P21T1	P21T2	P21T4	P22T1	P22T4	P23T2	P23T3	P23T4	P24T1	P24T2	P24T3	P24T4	P25T1	P25T3	P25T4	P26T1	P26T3	P26T4	P27T1	P27T2	P27T3	P27T4	P28T2	P28T3	P28T4	P29T1	P29T2	P29T3	P29T4	P2T2	P2T3	P30T1	P30T2	P30T3	P30T4	P31T1	P31T2	P31T3	P31T4	P32T1	P32T3	P32T4	P33T1	P33T4	P34T1	P34T3	P35T1	P35T3	P36T1	P36T3	P36T4	P37T1	P37T3	P37T4	P38T1	P38T3	P39T1	P39T4	P3T1	P3T3	P3T4	P4T1	P4T3	P4T4	P5T1	P5T2	P5T3	P5T4	P6T1	P6T3	P6T4	P7T1	P7T3	P7T4	P8T1	P8T2	P8T3	P9T1	P9T2	P9T3	P9T4
1CMET2-PWY	296.357	453.991	470.671	327.237	20.3363	367.439	327.27	426.577	260.754	482.734	360.262	732.797	94.1166	323.125	303.343	358.847	437.978	386.12	465.606	428.194	404.047	247.177	441.998	407.03	421.157	515.511	502.455	344.821	325.393	311.423	433.055	281.097	334.875	460.346	406.41	203.819	476.139	268.324	331.758	433.728	381.876	404.653	347.245	443.269	354.286	498.791	386.525	499.316	337.764	451.507	408.458	398.627	371.698	445.044	351.535	382.422	397.588	454.064	390.242	387.439	419.123	349.655	0	453.119	398.5	335.758	440.136	452.547	332.431	338.33	325.403	372.79	367.963	391.467	480.501	419.609	360.772	454.366	447.091	412.044	585.187	355.149	408.406	408.744	406.681	441.622	399.726	367.715	423.442	364.899	442.475	386.09	466.536	436.603	487.818	367.062	408.174	275.666	323.174	409.428	460.902	388.071	447.438	443.089	380.989	447.707	518.467	375.926	254.883	365.701	389.837	469.485	252.839	447.315
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	0	1.17525	0	0	0	0	0	4.75001	2.89458	13.8364	0	0	0	0	94.7793	0	0	0	0	0	0	4.11215	0	0	0	0	0	0	0	0	0	0	0	5.87978	0	0.671224	0.941672	0.401629	5.11888	5.84102	16.4873	0	26.1743	6.11479	0	1.09912	0	0	2.31942	0	0	3.95274	1.00848	0	0	0	0	4.51505	0	21.8268	0	2.50368	0	0	0	10.0739	0.848314	5.46661	0	1.57314	0	0	0.442224	5.04645	0	0	1.62696	7.28039	0	0	0	17.7878	0	42.3019	0	0	8.11117	4.41275	0	0	0	4.58972	0	7.96208	0	0	0	0	0	0	0	5.71166	0.84516	0	23.4492	0	0	0	0	42.9687	8.15931	0	0	0
AEROBACTINSYN-PWY	40.1834	4.63149	8.63267	0	0	0	0	0	0	0	0	0	0	9.25117	0	0	0	2.38733	0	0	0	0	0	0	0	0	3.88359	2.13425	0	0	0.795615	0	0	0	0	0	6.05046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.44165	6.56598	0	0	12.0188	0	4.4135	9.03429	18.6664	0	36.2125	12.1301	0	0	0	0	4.17943	3.80894	0	0	0	0	0	0.554827	0	0	0	0	0	0	0	0	0	0	0	2.44928	0	2.3273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALLANTOINDEG-PWY	0	10.3258	15.6697	2.08229	1.98069	13.1659	1.61536	4.0846	0	0	0	0	2.25504	5.36596	0.894743	0	6.21117	0.949176	3.75799	1.05	5.37139	0	12.6953	2.32555	0	0	12.7164	5.55818	2.0495	0	1.11804	5.90542	0.414817	11.4921	9.9274	0.358447	7.20289	4.51872	13.9165	10.926	43.1228	7.80185	12.9127	9.92696	2.56487	6.44713	9.88106	1.41216	6.70585	8.01429	3.56374	2.94166	1.38654	0	2.65222	1.10957	2.83033	1.65665	0.643238	19.0848	24.7593	2.0202	0	7.11551	19.1092	12.9951	25.6496	4.7741	1.2254	2.64567	1.07564	1.66556	5.02417	1.32636	0	1.64451	0	6.88819	6.35495	0.878896	0.87155	15.6495	10.2659	11.2844	2.48588	4.84394	11.4657	4.32773	5.56569	17.3299	16.9211	23.3762	34.0207	7.32793	11.5578	11.8694	7.3586	0	1.72596	15.9286	14.4111	8.32392	5.47667	0.410635	1.71276	0.532087	6.49602	2.53644	1.42214	2.58175	17.0837	9.17689	0	5.91333
ANAEROFRUCAT-PWY	224.35	172.744	142.971	94.991	22.0146	286.397	201.709	233.474	86.9281	435.692	60.4043	312.104	111.427	326.374	308.714	143.931	398.114	427.775	384.9	70.3226	243.584	178.477	292.651	287.818	291.548	191.343	138.853	110.594	324.229	370.795	422.272	134.009	296.211	376.8	396.385	148.632	348.372	141.588	299.426	447.09	349.568	345.854	246.46	158.025	251.406	242.072	254.343	433.466	357.048	436.667	155.506	349.671	255.818	253.906	297.369	300.647	220.376	178.853	381.66	372.217	283.319	210.917	0	382.77	342.014	209.983	348.013	271.101	251.694	289.185	210.598	266.242	245.777	222.932	312.831	359.499	270.734	202.904	304.024	267.447	255.412	251.532	196.877	264.421	377.453	251.559	236.618	248.196	334.448	283.964	332.282	269.031	238.99	252.749	363.965	329.242	328.614	146.511	148.099	296.238	243.272	362.719	253.944	244.123	294.45	114.114	473.385	143.796	633.507	361.118	153.266	346.365	164.286	182.95
ANAGLYCOLYSIS-PWY	293.387	432.214	435.159	591.201	81.1702	392.383	337.609	465.671	457.64	679.093	371.018	595.249	398.368	423.409	358.236	357.009	503.261	596.254	571.215	449.558	421.851	269.809	515.171	476.652	477.767	534.657	506.567	449.266	504.267	626.824	575.03	434.245	432.267	537.184	586.175	479.675	600.909	431.251	462.762	580.273	462.02	472.244	431.484	522.815	532.393	459.95	481.74	615.712	581.7	604.02	493.347	531.489	428.322	431.422	401.675	389.923	578.267	458.863	494.111	515.78	545.114	338.292	63.213	609.383	510.661	407.106	491.768	505.322	360.34	434.817	411.071	443.549	426.558	449.771	639.945	485.988	419.284	415.347	598.006	397.757	642.328	377.999	369.07	366.162	545.282	529.662	483.963	393.756	461.776	434.211	470.114	444.463	540.836	552.124	481.409	458.908	454.609	323.688	412.831	542.034	586.068	500.032	435.074	436.943	446.917	502.776	622.918	434.068	836.095	444.664	629.057	487.677	514.471	510.428
ARG+POLYAMINE-SYN	120.132	118.095	83.5133	0	4.12712	203.955	87.5692	98.9055	12.5815	130.77	5.12005	77.7845	7.91655	78.0086	280.771	0	75.2137	39.6088	37.0256	36.9573	105.558	117.754	121.681	46.2649	45.773	69.2054	93.7513	75.2178	24.6621	1.88953	36.9588	32.9545	77.5058	117.049	158.71	17.4059	128.41	44.1419	138.079	55.5261	204.464	128.889	146.884	90.2102	31.0165	65.0214	118.831	10.8792	37.0204	28.1365	106.805	49.4125	132.167	61.5493	128.647	247.037	71.5017	77.5741	29.5585	156.971	98.9537	131.122	0	165.334	98.103	109.017	130.025	79.8458	56.5111	106.756	62.4367	24.7633	74.1726	60.1069	51.8155	0	37.9607	106.171	53.7567	45.9208	29.0179	120.555	38.3778	149.781	41.3219	123.055	126.732	115.219	75.8634	175.724	77.7986	88.4865	108.456	141.497	78.9692	51.9115	114.235	19.5034	5.97706	91.1834	79.4955	91.1371	34.6711	63.9414	166.638	27.325	42.5865	44.8604	6.75053	332.543	121.058	35.9118	0	81.8627
ARGDEG-PWY	0	0	0	0	0	0	0	6.01612	0.931083	16.2883	0	0	0	0	0	0	0	0.561572	1.87671	0	0	1.16352	0	0	0	0	0	0.940619	0	0	0	0	0	7.21502	13.2618	0	2.15472	0	7.58955	12.3396	23.8554	0.349765	25.9153	7.74216	0	0.87179	0	0	0	0	0	0	30.1348	0	20.1181	29.1123	0	7.67902	0	24.7847	0	3.85479	0	28.8867	0	11.4404	10.4592	8.71171	0	0	0	0	0	0	0	0	0.873527	9.66323	0	0	0	12.1481	0	2.33866	0	0	8.28561	7.47706	3.38225	26.9085	0	1.01996	0	6.09536	0	0	0.661113	0	0	0	1.03384	16.7243	0	0	20.1393	0	0	0	0	128.78	5.01663	0	0	0
ARGININE-SYN4-PWY	162.593	243.224	243.254	75.2204	5.74603	148.939	170.413	148.294	17.1645	66.4722	200.21	139.546	15.1842	102.982	217.957	330.848	125.663	3.02191	32.4127	254.879	190.695	108.214	168.765	213.005	233.076	5.13934	169.29	137.896	46.0752	1.82804	34.6691	75.8811	1.04826	24.3503	53.2332	5.50867	24.5671	42.4157	97.9428	9.56043	102.179	49.7947	73.0119	24.458	74.9236	45.6036	53.3915	11.717	20.4787	56.3791	133.001	50.2782	69.4271	322.825	172.124	292.644	126.698	315.809	145.539	29.8399	110.13	277.793	3.19665	96.1389	76.8461	258.054	168.873	170.081	176.564	69.738	112.769	130.836	124.363	154.285	93.5262	291.609	12.8463	277.711	189.956	121.087	111.232	194.84	188.229	112.492	13.6336	124.089	214.386	208.986	148.285	202.271	248.516	68.8098	231.244	99.1372	134.953	70.5702	125.945	120.309	214.955	87.6752	86.0636	143.259	242.396	244.766	130.715	209.308	82.603	2.51131	141.531	39.1431	13.7339	80.3207	0	214.236
ARGSYN-PWY	182.343	307.799	309.097	855.503	12.2988	365.035	222.977	377.876	181.474	710.226	280.5	503.627	414.942	542.349	381.628	82.9799	502.212	696.729	580.161	381.503	364.776	238.721	524.035	420.491	484.92	562.209	488.347	326.562	591.047	753.678	626.222	137.362	343.608	625.315	515.488	159.714	550.069	296.059	411.307	631.305	470.4	480.03	418.866	587.111	637.847	566.195	618.678	614.644	600.826	609.509	483.143	627.728	380.931	247.093	356.5	319.543	636.801	369.923	438.571	550.843	604.633	310.226	15.953	570.98	553.989	401.563	466.528	433.304	220.937	391.99	331.682	431.398	379.925	329.142	627.899	313.82	337.3	360.416	519.478	455.9	694.411	364.022	292.095	355.356	684.091	526.519	556.025	287.727	442.063	448.374	425.416	390.334	458.477	480.225	486.147	457.074	442.056	140.921	319.155	574.395	568.212	445.394	443.603	436.452	390.988	434.811	542.37	582.715	397.851	396.205	563.589	514.49	554.531	368.188
ARGSYNBSUB-PWY	184.13	317.657	323.727	866.506	14.423	377.175	209.238	383.128	163.692	700.428	294.703	797.771	437.643	542.343	351.105	64.6377	500.499	714.473	598.551	388.504	366.696	242.704	546.17	428.77	492.303	610.653	494.676	323.183	593.346	778.709	622.487	119.802	343.865	638.686	519.534	146.537	591.319	276.569	418.243	651.941	465.048	490.613	425.293	620.324	655.097	527.111	647.965	640.522	635.505	631.248	495.785	656.064	376.398	247.125	351.787	281.866	650.009	369.081	448.8	555.478	613.724	313.826	17.2576	566.927	564.533	393.755	474.273	434.194	183.381	393.207	315.729	422.415	357.028	315.806	630.14	240.564	300.049	348.726	524.116	455.577	807.001	357.536	273.929	347.118	719.111	523.872	574.2	285.887	452.628	439.508	427.478	395.646	470.964	486.487	499.79	466.408	441.576	129.794	304.11	580.551	577.63	437.339	432.53	424.808	392.497	450.403	544.712	773.929	205.519	409.306	605.981	518.449	566.366	362.422
ARO-PWY	296.713	476.55	445.919	863.339	355.061	377.367	302.344	473.693	330.261	790.019	493.473	791.308	439.989	536.564	418.159	393.874	580.05	806.937	616.482	490.858	435.445	293.536	539.26	490.015	542.197	657.661	623.185	406.939	579.347	885.583	695.613	239.827	438.875	662.553	568.649	290.455	665.361	369.587	507.033	635.172	510.621	529.388	438.81	599.477	656.21	600.766	548.218	716.747	659.73	684.557	505.884	669.451	454.599	434.597	439.436	394.876	689.292	476.561	539.445	548.202	599.63	399.027	504.119	672.105	574.03	442.796	533.985	491.161	274.428	423.342	350.991	464.915	475.863	443.824	650.093	508.03	372.505	494.173	650.173	496.208	840.539	412.255	431.199	448.66	738.595	591.093	598.933	390.216	509.807	469.976	603.773	451.52	597.694	586.641	566.052	497.241	536.423	331.113	450.802	651.246	648.87	519.478	579.138	564.122	435.612	541.413	664.535	774.148	167.344	450.375	650.138	601.443	531.526	495.598
ASPASN-PWY	289.648	307.207	323.607	170.713	9.93894	343.359	232.015	263.539	329.336	119.637	215.576	165.718	373.226	211.122	370.593	288.644	241.169	162.721	203.775	335.545	264.418	152.483	290.085	274.755	256.304	146.431	229.472	317.502	235.472	90.9855	225.301	365.898	217.521	255.257	239.861	358.968	244.111	255.99	237.246	181.673	238.464	223.417	264.089	208.309	193.79	140.819	189.446	234.174	171.715	253.454	162.428	199.452	257.938	432.227	249.244	390.904	219.879	363.421	260.115	281.958	284.12	339.232	9.31619	177.521	262.281	357.794	260.73	296.146	228.386	188.35	258.299	196.494	245.489	288.317	231.334	298.11	271.154	342.534	283.441	303.824	203.387	318.191	230.582	227.388	224.97	266.247	297.813	293.062	244.553	229.625	260.842	252.845	337.409	277.805	309.704	181.04	208.836	112.439	251.284	198.004	224.446	266.468	284.793	238.564	276.944	292.786	201.256	81.6659	676.319	441.061	204.818	292.771	153.647	303.068
AST-PWY	42.113	11.8674	10.9602	0	0	52.8594	0	5.58121	2.49282	32.7297	0	0	2.11299	9.75619	128.355	0	0.418128	0.945375	1.06176	0	5.82642	6.25084	7.49937	0	0	0	4.90203	1.32459	0	0	0.616391	1.10184	0	8.62159	14.8403	1.44523	7.45482	0.39344	18.0743	10.2327	30.307	9.21076	28.5666	5.79739	0	0	6.9431	0	2.72335	0.67659	0	2.60868	12.3374	2.13453	6.12941	80.0305	2.37946	5.33726	0	36.5344	13.3279	21.3865	0	30.9007	14.0373	11.9726	29.2264	7.59561	0	8.28202	4.05028	0	5.08326	2.84304	0	0	3.61495	13.8547	0	0	0	22.4408	0	85.7101	0.527429	1.53096	10.9046	12.0631	1.40548	14.5807	0.762623	5.21385	0	10.6173	0.806607	0	2.37382	0	0	0	0.891891	9.22875	1.10632	1.27525	21.6373	0	0	3.12575	0	164.586	8.40674	0	0	0
BIOTIN-BIOSYNTHESIS-PWY	242.846	176.667	182.672	0	6.11403	252.847	90.0871	112.612	30.9229	68.442	58.2764	15.9072	11.233	119.893	250.3	109.99	165.963	27.1976	72.8306	16.4133	139.297	114.492	124.235	104.066	117.565	43.6913	150.931	70.5166	89.9649	25.9213	112.003	52.678	73.9769	103.693	88.4416	20.5935	77.9343	47.9597	155.608	93.6984	164.741	98.2164	151.019	65.3167	83.0508	101.175	95.6739	58.158	41.8567	60.9454	54.9933	53.6773	175.562	178.93	101.221	292.466	123.795	241.08	90.6635	100.034	143.787	216.703	0	95.9259	123.193	181.502	167.956	125.84	59.3368	110.122	122.407	112.467	135.173	41.0336	16.7483	127.512	60.9764	241.855	67.1521	138.162	152.642	194.736	178.677	213.606	72.0307	118.657	165.046	172.391	139.959	191.78	192.5	93.8333	125.988	120.492	133.269	47.6647	164.714	83.5401	91.5357	96.1223	97.2101	132.604	87.7284	52.8011	135.795	16.7792	81.0421	44.1391	3.2504	229.826	61.2239	172.032	6.80031	58.7161
BRANCHED-CHAIN-AA-SYN-PWY	334.049	421.467	382.463	369.025	24.7664	497.069	296.463	436.144	544.45	927.115	346.32	761.867	473.952	616.783	468.947	381.976	598.551	879.134	588.402	412.687	445.106	289.62	491.639	464.818	462.355	518.121	488.586	489.716	665.972	1169.51	668.943	500.444	532.644	614.074	676.027	601.904	625.476	533.152	512.815	737.373	628.045	609.399	454.677	574.272	586.311	518.589	609.171	704.64	774.004	703.866	526.307	497.085	440.156	390.543	428.867	377.624	541.859	396.17	570.627	531.985	591.6	337.062	26.3905	790.498	597.704	362.089	497.089	473.659	284.675	504.87	461.229	470.647	455.6	469.283	620.33	439.591	567.908	382.121	599.864	474.739	744.149	359.253	387.33	370.647	689.069	516.507	457.724	391.165	529.969	371.291	589.834	509.669	596.657	566.924	553.826	500.057	541.526	231.403	289.29	526.148	559.174	522.104	506.546	462.191	473.674	490.307	654.068	676.153	195.755	484.969	510.176	521.582	635.283	442.225
CALVIN-PWY	321.125	462.374	515.197	520.952	56.9157	480.996	305.929	482.623	370.345	470.674	334.859	523.966	153.99	353.829	483.01	258.865	467.408	449.126	527.193	465.184	342.407	242.437	536.454	386.249	395.28	619.197	536.478	407.538	477.947	390.529	457.03	345.783	347.48	537.15	360.654	370.18	607.007	342.953	466.312	582.042	483.855	441.526	429.195	589.819	483.616	377.998	469.053	536.544	329.421	519.349	469.541	499.808	425.864	411.992	447.867	453.537	548.386	414.349	367.263	539.577	567.287	385.937	456.412	460.522	490.717	393.586	476.29	475.241	243.374	385.914	373.593	402.066	373.398	364.099	522.133	359.576	383.86	393.38	560.356	394.525	546.742	373.98	285.927	350.982	547.323	483.991	446.198	378.362	445.703	423.763	384.817	420.327	567.993	666.651	478.19	453.574	361.744	300.027	337.987	543.018	575.473	414.251	439.466	447.199	473.866	526.579	465.68	756.987	328.642	587.139	633.997	459.784	186.447	455.117
CARNMET-PWY	13.719	4.61536	2.89269	0	0	22.3311	0	1.46604	0.362799	9.41698	0	0	0	3.25698	32.297	0	0	0	0.640137	0	2.35622	2.42247	2.74046	0	0	0	1.41658	0	0	0	0	0.499968	0	2.38884	4.7316	0	2.87557	0	4.39281	2.16495	8.33712	4.31944	6.64261	1.29283	0	0	2.68206	0	1.06629	0	0	0.318206	6.88368	0.638452	6.79083	19.4014	0	0.726792	0	4.99826	4.22242	8.11448	0	8.17024	4.27802	2.63004	5.4175	1.35913	0	1.90647	1.60785	0	1.47878	0	0	0	0.904536	3.28903	0	0	0	3.80555	0	0	0	0	2.76587	2.71158	1.0131	5.01546	0	1.54688	0	2.20668	0	0	0	0	0	0	0	2.87904	0	0	4.8702	0	0	3.74362	0	0	1.76244	0	0	0
CATECHOL-ORTHO-CLEAVAGE-PWY	0	0	0	0	0	0.602113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.55236	1.84635	0.443941	0.684708	0	0	0	0	0	0	0	0	0	0	3.0862	0	0	0	0.892433	0	0	20.0171	0	0	0	0	0	0	0	0	0.467747	0	0	0	1.24451	5.13584	0	0	0.472477	3.16286	0	0	0	0	0	34.1148	0	0	0	0	0	0	0	1.54521	0	3.95677	0	0	1.7197	0	0	0	1.14921	0.393882	0	0.767964	0	0	0	0	0	66.7781	0	0	0	0
CENTFERM-PWY	11.5182	22.1601	33.6396	23.2452	3.66017	1.14622	27.2024	16.0753	15.5905	28.5866	60.0764	0	3.16453	1.03122	18.3998	0	27.1313	20.1392	61.811	22.459	69.7731	42.7916	57.9847	44.2379	79.775	9.5722	49.5414	14.8007	57.8601	6.26133	36.4887	11.6235	31.4015	70.2451	31.1982	7.74092	60.7329	25.4665	60.2703	17.436	9.47016	40.6178	57.7593	80.2588	72.3964	52.948	68.4529	16.2453	39.15	16.7748	22.4538	71.6658	73.2709	12.6199	16.1456	26.7403	83.1507	43.6541	34.5735	68.6062	78.6832	38.2157	0	19.7414	46.2011	39.5079	74.6403	77.4363	11.0349	57.2207	7.29891	41.5652	58.0506	34.9608	75.2531	10.1065	0	26.998	28.7725	36.2605	45.5416	44.6333	42.5025	79.7304	7.18189	70.6695	14.4113	21.4197	11.1244	31.8215	33.7087	78.1295	28.785	59.0021	2.9878	22.194	16.4604	2.83988	18.8058	40.0015	51.3595	86.2322	14.6633	13.181	68.8484	20.97	74.3549	3.10493	40.4085	16.7253	16.4373	3.30576	0	29.8182
CHLOROPHYLL-SYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5636	0	0	0	0	1.30206	0	0	0	0	0	0	0	0	0.940912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.94256	0	0	0	0	0	0	0	0	0	0	0	0
CITRULBIO-PWY	160.295	241.393	259.661	65.0201	20.9511	193.629	177.819	198.141	24.3244	96.5117	325.551	87.7589	22.3149	144.173	264.014	113.96	148.786	6.62078	55.5105	303.081	185.512	137.871	227.927	260.859	299.475	57.1543	250.914	172.738	73.1821	2.47846	43.8596	95.0927	8.46325	36.0825	77.0587	7.47466	76.2881	40.172	133.156	14.2853	142.174	71.877	102.414	49.1933	113.336	415.868	78.2347	20.1556	30.3437	50.2413	109.518	94.3777	73.7534	272.001	29.234	294.644	179.404	347.635	21.0079	53.4959	35.6976	304.878	4.78251	135.878	71.9636	310.478	225.328	222.735	150.52	97.6013	145.172	165.627	251.895	202.641	147.054	396.774	18.9345	308.362	161.376	68.1971	116.288	238.009	264.827	266.501	19.803	171.872	279.837	217.452	167.817	260.706	306.644	98.7265	231.088	96.6395	57.8106	173.434	300.832	181.612	366.06	139.755	191.753	181.339	287.115	279.387	173.132	243.154	102.758	3.76221	232.544	128.129	20.4452	62.0948	0	115.325
COA-PWY-1	273.374	410.718	392.668	679.678	454.461	330.054	327.506	406.704	194.835	701.213	397.571	348.928	64.5208	261.927	261.276	380.925	522.712	721.33	555.497	458.748	420.756	245.261	488.789	460.366	497.881	592.619	544.014	340.238	537.075	819.463	524.86	198.055	375.098	547.65	558.134	148.969	529.688	285.522	411.573	554.916	450.281	439.383	393.353	508.653	549.417	572.328	513.64	585.85	499.709	599.278	489.927	534.194	379.877	401.617	393.188	359.334	611.578	483.557	412.43	482.305	537.718	367.191	8.96235	578.539	431.703	419.433	461.23	475.334	360.101	362.407	329.609	447.666	422.652	381.558	496.745	510.26	252.168	440.149	532.677	425.531	459.619	376.276	406.673	374.434	566.559	482.409	510.067	349.726	448.785	434.234	521.436	382.191	536.253	453.05	473.528	428.22	438.845	221.763	421.375	559.501	553.119	490.103	535.243	526.25	367.297	475.099	599.135	518.728	843.994	315.985	516.129	463.739	109.478	447.115
COA-PWY	251.626	400.568	390.399	644.054	449.403	311.123	314.104	382.874	187.218	714.89	371.096	783.954	396.89	227.512	238.099	367.505	492.342	679.116	517.641	434.576	402.609	233.824	457.884	429.411	468.258	592.595	516.047	332.913	497.854	772.072	478.061	198.979	363.981	499.253	523.415	148.093	498.534	277.309	398.605	547.419	429.68	413.489	363.38	475.064	508.271	535.947	470.671	552.397	455.329	559.511	455.329	495.678	381.616	398.979	401.781	350.481	561.747	460.11	401.116	441.71	506.069	359.022	435.202	556.195	395.437	413.726	434.382	437.067	346.276	342.6	314.509	424.221	401.738	375.594	502.496	479.792	236.054	447.648	508.336	390.303	485.807	348.004	405.806	356.535	576.214	460.63	475.874	333.558	423.111	407.339	548.415	358.827	522.221	445.657	432.65	405.32	414.266	315.387	386.513	533.244	523.702	457.074	495.279	494.433	342.279	467.19	568.972	538.418	801.365	305.875	506.515	431.479	91.8416	414.435
COBALSYN-PWY	203.605	163.68	156.046	480.152	5.0259	195.229	108.704	198.156	21.2547	142.295	183.831	95.6465	15.5569	93.4779	222.711	73.4891	176.616	123.711	270.961	190.94	137.47	110.11	217.013	189.308	190.68	202.402	152.631	153.783	230.433	143.013	267.073	27.2094	92.1328	351.745	110.723	51.0757	373.353	86.4053	79.2599	279.667	203.153	209.77	213.019	304.861	265.792	137.612	253.419	214.74	107.669	238.965	180.336	226.265	237.385	211.302	234.976	202.002	360.682	171.674	77.5186	320.406	395.88	168.216	0	114.412	208.479	256.91	260.319	238.851	105.428	123.251	89.7606	182.036	149.413	167.669	256.047	137.013	84.4871	139.129	270.308	216.343	236.052	303.966	114.524	176.548	362.121	328.344	258.902	127.814	191.821	239.639	126.479	157.002	363.239	333.625	246.079	194.758	131.94	34.4479	139.127	291.779	302.548	173.565	126.545	123.828	206.987	228.412	213.708	520.921	51.8811	229.577	219.325	168.089	14.6401	208.328
COLANSYN-PWY	195.691	170.919	157.202	121.331	17.3272	174.27	183.855	199.576	74.3899	99.9456	181.745	131.653	52.1076	99.455	332.74	174.413	160.036	76.1668	88.3396	163.879	143.505	118.984	146.308	160.249	129.204	134.619	138.235	114.207	89.7088	48.9547	72.6464	73.1571	79.0589	163.614	107.864	48.7692	212.299	102.288	175.83	122.279	143.885	166.473	142.581	100.775	93.9812	120.241	118.849	92.711	52.0536	92.6426	128.209	116.955	180.695	228.949	128.833	234.335	182.753	168.823	124.419	157.257	169.31	174.482	4.06613	83.4228	99.5214	162.495	147.835	163.844	177.235	112.55	121.911	134.641	137.874	148.084	194.248	179.316	58.719	149.301	194.292	116.742	130.148	160.611	118.718	136.66	177.715	163.127	195.806	182.007	153.049	194.289	97.9204	124.914	177.907	161.031	125.188	179.992	117.75	158.998	144.51	201.585	233.511	131.079	149.1	127.151	158.751	195.909	125.29	106.165	208.152	137.808	183.324	119.64	20.8923	196.003
COMPLETE-ARO-PWY	288.291	456.276	444.362	583.584	350.247	362.651	291.566	454.718	298.417	824.285	442.812	653.976	480.476	516.342	413.847	299.215	556.284	693.334	572.593	481.516	418.109	279.66	504.196	470.38	511.334	622.976	553.398	391.108	533.106	613.453	668.842	233.197	443.558	599.899	564.304	294.008	627.885	372.769	506.845	591.664	497.846	514.834	414.766	554.008	586.579	469.171	489.713	683.289	613.612	673.746	462.63	596.824	421.317	411.324	414.457	395.786	656.668	478.269	518.368	535.759	561.41	384.138	92.0306	688.974	524.826	444.687	518.431	475.647	261.44	413.361	356.475	451.998	457.793	427.616	582.086	497.796	365.471	486.862	632.824	476.804	736.573	403.574	413.744	403.923	694.961	526.107	534.032	370.617	485.501	440.84	590.757	430.309	579.741	570.351	546.228	485.689	531.716	328.128	424.629	614.951	605.117	491.088	532.683	531.538	412.449	528.108	657.059	753.145	151.226	429.108	648.745	585.426	531.854	469.231
CRNFORCAT-PWY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.88052	0	0	0	0	0	5.29455	2.52131	0	7.72633	0	0	0	0.865349	0	0	2.76136	0	0	0	0	0	0	2.1428	0	1.78719	10.0123	0	0	0	0	0	0	8.00224	0	0	0	0	0	0	1.90905	1.21522	0	0	0	0	0	0	0	0	0	0	0	0	6.51518	8.56936	0	0	1.38194	0	0	0	0	0	6.41774	5.99442	0	0	0	0	0.646861	0	2.74065	0	0	0	0	0	0	0	0	0	0	0	0.738125	0	0	0	0	0	0	0	0	0	0	0
DAPLYSINESYN-PWY	166.343	83.1972	62.8253	13.4505	25.2985	232.752	15.7566	123.573	91.6313	846.445	21.6296	0	112.835	513.725	314.559	28.6426	310.744	639.199	379.824	7.05467	228.43	149.482	230.763	232.324	278.532	154.54	48.7482	17.1889	285.294	834.398	568.786	35.4194	247.53	354.386	571.045	97.2791	289.042	42.7278	161.252	446.432	318.223	338.879	153.559	108.295	199.353	131.799	244.439	400.69	638.899	414.094	76.5104	259.363	163.835	27.8296	95.0912	214.203	154.053	95.1713	357.856	270.482	145.889	134.01	27.4712	667.048	248.191	138.214	293.488	192.111	2.21393	253.603	38.8186	150.277	167.907	141.979	217.725	89.2433	154.252	117.373	107.444	237.153	135.623	124.149	59.7967	225.536	345.816	148.241	140.504	183.357	284.929	190.957	312.661	221.895	144.407	100.458	299.401	143.791	263.726	83.714	5.50745	187.082	189.757	272.029	87.0093	72.6457	208.011	20.7763	538.999	22.2173	2.92558	300.223	121.671	355.842	210.699	113.341
