Pathway	P10T2	P10T3	P10T4	P11T1	P11T2	P11T3	P12T1	P12T4	P13T1	P13T4	P14T1	P14T4	P15T1	P15T2	P15T3	P16T1	P16T3	P16T4	P17T1	P17T2	P17T4	P18T1	P18T2	P18T3	P18T4	P19T1	P19T4	P1T1	P1T3	P1T4	P20T1	P20T2	P20T4	P21T1	P21T2	P21T4	P22T1	P22T4	P23T2	P23T3	P23T4	P24T1	P24T2	P24T3	P24T4	P25T1	P25T3	P25T4	P26T1	P26T3	P26T4	P27T1	P27T2	P27T3	P27T4	P28T2	P28T3	P28T4	P29T1	P29T2	P29T3	P29T4	P2T2	P2T3	P30T1	P30T2	P30T3	P30T4	P31T1	P31T2	P31T3	P31T4	P32T1	P32T3	P32T4	P33T1	P33T4	P34T1	P34T3	P35T1	P35T3	P36T1	P36T3	P36T4	P37T1	P37T3	P37T4	P38T1	P38T3	P39T1	P39T4	P3T1	P3T3	P3T4	P4T1	P4T3	P4T4	P5T1	P5T2	P5T3	P5T4	P6T1	P6T3	P6T4	P7T1	P7T3	P7T4	P8T1	P8T2	P8T3	P9T1	P9T2	P9T3	P9T4
PWY-5676	86.7162	83.4655	81.7092	49.5162	2.30403	35.3569	51.5188	90.6704	160.319	91.9469	69.3879	14.9023	9.63033	113.634	66.0467	0	40.2575	67.2805	58.5733	27.1798	80.7743	72.332	76.0027	79.0368	64.7544	94.0092	106.311	26.052	121.967	82.3917	52.9216	14.9223	89.9385	50.1739	71.4183	28.5322	76.2623	22.46	122.585	72.1424	62.1005	68.3475	53.5773	116.411	44.1698	22.4851	130.279	25.3143	17.8706	14.9079	132.517	20.6575	92.6134	47.2358	81.7338	79.5338	59.5832	43.8127	36.1314	105.368	136.664	103.332	0	80.6873	93.6235	87.1894	69.6115	130.517	42.7822	67.2245	46.4706	19.9246	44.3452	62.5489	138.796	8.71895	19.8107	50.8627	74.8117	31.8609	166.74	100.172	55.667	49.579	115.877	38.5558	38.4911	68.4448	54.4369	164.993	54.7294	52.5286	30.4483	40.7873	76.6078	103.082	92.9219	30.9298	32.4515	77.9579	142.248	46.1684	9.5804	20.0072	115.797	18.2247	61.9521	47.466	14.7159	41.711	158.976	101.188	40.293	121.932
PWY-5677	0	15.6969	17.1642	4.88637	0	0.387016	5.67475	0	0	0	0	0	0.619113	0.659505	19.1329	0	0.952302	0	0	0	6.56633	3.24308	10.1199	8.50873	3.56611	0	1.76174	0	0	0	2.11273	0	0	0	0	0	0	0	5.28154	0	1.44613	0	0	0	0	3.63461	0.779177	0	0.945081	2.19637	10.8195	0	0	0	0	0	0	3.01733	1.80739	0.663242	6.15496	4.14682	0	2.42901	15.1031	7.6002	11.2216	2.93502	1.9969	0.921462	0	0.767766	5.30268	4.62499	7.85351	0	0	3.58917	11.6163	2.04654	7.76241	8.50543	4.86484	5.29079	0	0	1.98901	11.7115	10.4509	5.51608	0	1.66282	0	0.876418	8.10471	2.28882	2.73092	1.54087	1.98846	0	0	11.3895	1.88155	6.56315	5.33132	3.07339	1.75349	10.4132	1.7951	5.98959	0	0	0	6.15621
PWY-5686	300.609	485.739	470.763	680.359	425.112	356.027	379.241	488.631	470.513	790.899	497.031	834.204	405.39	520.759	286.27	419.531	586.815	789.485	643.569	516.909	468.764	284.973	586.186	543.768	569.422	589.019	581.751	501.02	719.761	939.826	595.893	454.673	473.584	587.572	639.203	558.395	595.093	497.206	485.67	711.848	566.816	568.323	471.189	592.198	715.587	647.998	572.472	681.207	682.932	704.928	550.748	711.931	440.777	436.508	440.439	390.193	701.801	565.599	547.536	554.44	592.297	418.991	480.385	624.185	552.631	483.622	538.411	566.605	398.075	473.271	443.262	549.653	529.778	561.183	737.36	566.783	540.008	511.268	666.057	463.922	818.981	445.289	484.826	413.284	711.171	575.895	623.01	416.733	522.96	450.596	653.087	530.269	615.522	512.107	541.667	489.265	561.066	342.913	459.492	628.447	622.945	580.749	646.963	625.6	440.37	547.027	638.634	646.513	988.835	406.729	575.811	530.283	529.377	515.666
PWY-5690	60.0313	11.4295	10.3679	0	0	5.91768	3.68332	19.0732	1.03308	0	6.20624	0	0	0	12.0634	1.2414	39.6068	34.0056	6.30864	6.84986	11.7087	0	2.7873	3.96912	12.8175	42.6601	22.3661	20.2081	20.2504	8.0125	6.20369	5.77257	1.77741	20.136	21.8813	2.27778	23.0883	7.11089	12.0645	15.072	62.0629	14.7656	5.87021	10.5684	16.6973	26.8285	24.5111	29.7659	8.50601	17.5035	12.4174	45.0637	26.7498	2.2346	9.96232	97.4106	24.7848	8.12052	13.723	7.39404	34.1985	36.8435	0	7.47895	18.8875	18.8569	10.5284	8.01263	0	13.5172	13.0703	10.5934	26.5753	13.2419	24.258	18.8711	11.6092	36.9865	16.1862	33.412	30.8964	13.5967	21.9031	26.4623	0	39.4153	19.1095	9.90027	8.57628	54.3311	9.70099	4.64355	9.91475	36.3553	2.57859	6.37995	15.6669	1.59619	19.8689	41.9397	25.8567	10.0381	60.1772	60.2297	3.74299	6.84252	12.7778	0	1.89574	4.26836	4.28171	1.27663	0	13.4813
PWY-5692	1.29424	0.971393	0.411952	0	0	14.4497	0	0	0	1.30003	0	0	0.302421	0.561774	0.707197	0	0	0	0.859679	0	0.548968	0	0.622222	0	0	0	0.589847	0.976967	0	0	0	0.18676	0	0.424741	3.85056	0	0.356271	0.309528	2.75091	1.19653	0.330035	2.05411	1.60985	0.813098	0	0	0.520312	0	0.532582	0	0	0	1.7117	0	0.543848	4.56895	0	0.453369	0	1.61315	0.633614	5.26567	0	9.22207	0.626283	3.97272	5.37799	0.748512	0	2.11352	0.391568	0	0.200166	0	0	0	0	0.418377	0	0	0	5.8138	0	0	0	0	0	0.627589	2.16508	0.978113	0	1.79899	0	4.80441	0	0	0	0	0	0	0	4.89241	0	0	5.00161	0	0	0	0	0	0.896898	0	0	0
PWY-5695	364.354	456.935	459.424	481.939	788.083	457.299	381.422	413.201	405.544	336.7	381.604	330.121	59.7107	290.319	501.782	443.772	400.447	358.571	379.169	503.155	434.683	254.99	467.394	469.362	437.331	358.375	449.685	440.416	364.247	258.06	415.562	411.765	342.59	463.787	299.566	351.642	395.268	351.664	464.117	352.038	458.534	421.737	384.962	315.955	371.813	502.049	346.888	356.163	306.151	340.609	383.041	459.5	439.523	517.721	430.562	471.16	457.756	500.978	371.178	381.314	382.181	406.84	215.261	406.18	454.051	465.313	396.431	430.618	363.901	374.85	400.145	404.291	453.524	438.393	537.948	508.538	328.093	493.454	472.094	375.961	273.882	404.783	438.303	389.687	555.395	472.663	508.651	410.902	417.623	466.437	534.358	383.667	504.442	502.974	447.584	353.594	411.132	316.134	413.663	410.059	436.762	397.775	490.778	464.331	410.13	508.359	426.378	191.84	576.087	396.429	493.35	503.153	245.495	489.33
PWY-5705	24.6051	11.1881	5.33962	0	0.158497	43.0297	0	0	3.06778	17.7016	0	0	0.703785	4.79614	65.504	0	0	0.733162	1.3588	0	3.84437	6.74742	4.2916	0	0	0	2.89858	1.31664	0	0	0	0.790609	0	3.86234	14.0849	0.941127	5.0467	0.538386	8.44857	5.08844	15.7354	5.73977	13.4888	2.95572	0	0.352383	6.31136	0	1.49821	0	0	0	3.04537	0.580974	3.6514	28.1499	0	3.59047	0	8.96135	6.1442	12.8663	0	21.0965	9.45779	13.9507	12.6478	5.25561	0	5.58638	2.57542	0	1.24131	0	0	0	0	4.14266	0	0	0	16.8968	0	1.36745	0.751373	0.686209	5.6228	7.54507	2.98612	16.0336	0	4.51309	0	5.63508	0	0	0.487508	0	0	0	0	7.34505	0	0.349528	12.4083	0	0	0	0	0	5.71251	0	0	0
PWY-5723	169.074	68.1811	65.8858	0	5.64472	295.677	0	33.3922	21.0684	144.493	0	0	12.2744	57.2099	401.579	0	9.46978	8.41828	5.69808	0	34.3241	63.3804	37.9851	0	2.15301	0	19.2002	8.60507	1.85262	2.12962	4.63469	0	1.63108	48.1771	78.2472	7.55189	40.4889	27.7761	103.002	47.9105	152.483	101.039	161.146	43.7378	2.09606	6.56157	43.5389	0	10.0068	2.11855	0	60.2363	77.7443	13.5769	68.0139	252.509	20.1702	30.125	0	113.612	87.8711	101.147	0	250.892	203.466	72.3088	120.237	36.1698	0	38.7939	22.044	0	22.4081	15.2906	0	0	14.6319	41.0689	3.95348	0	2.50788	105.667	4.84906	104.806	7.99425	13.0065	52.5678	47.3157	12.0269	154.63	8.77038	41.2292	2.23901	61.2042	8.56437	1.94548	11.8016	0	0	0	1.35238	44.2424	7.05074	4.52203	116.989	0	3.91647	11.8885	0	265.158	57.2196	0	0	0
PWY-5724	0	0	0.606525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.20476	0	1.33475	0	0	0	0	0	2.64786	0	0	0	0	0	2.29138	0	0	0	0	0	1.61674	0	0	0	0.694598	0	0	0	0	0	0	0	0	0	0	0.490862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5747	10.9721	5.14152	2.29525	0	0	20.2225	0	0	1.1182	14.3685	0	0	0.212719	2.59628	33.9284	0	0.32674	0.323339	0	0	2.64335	2.45919	1.8392	0	0	0	0.434894	0.317672	0	0	0.160392	0.327121	0	3.55123	4.60501	0.23692	2.26465	0.25579	5.31347	3.45574	14.2503	3.68114	11.5661	4.76808	0	0.535168	2.97872	0	0.55987	0	0	1.36424	9.84111	0	6.50663	18.7713	0	5.45682	0	22.3913	0.657693	8.67447	0	1.62996	4.6196	4.21559	4.9109	5.75341	0	2.92858	1.31342	0	2.94092	0	0	0	0.892008	5.32195	0	0	0	8.57044	0	6.83544	0.757589	0.199601	5.89241	3.03261	0.310897	5.86803	0.325521	3.64277	0	7.20599	0	0	1.49732	0	0	0	0.260382	6.27686	0.609479	0.585164	20.077	0	0	4.60876	0	0	3.34955	0	0	0
